# delta,gap,coarse,fine
0.000000000000000000e+00,1.617841417119919356e+00,2.445960101127297941e-17,3.217225599071513731e-01
2.000000000000000042e-03,1.617483377276492718e+00,5.551115123125783010e-18,3.217059408947826049e-01
4.000000000000000083e-03,1.617123817638248084e+00,5.811323644522303920e-18,3.216892594538942607e-01
6.000000000000000125e-03,1.616762728262873594e+00,1.118896642005040607e-17,3.216725152230213158e-01
8.000000000000000167e-03,1.616400099125016254e+00,2.914022037450551581e-17,3.216557078379349566e-01
1.000000000000000021e-02,1.616035920113816360e+00,2.261103630718519620e-17,3.216388369316248719e-01
1.200000000000000025e-02,1.615670181034154496e+00,1.674008154317618908e-17,3.216219021342617834e-01
1.400000000000000029e-02,1.615302871604122004e+00,2.125036258071588691e-17,3.216049030731806813e-01
1.600000000000000033e-02,1.614933981454367284e+00,4.250072516143177689e-18,3.215878393728494045e-01
1.800000000000000211e-02,1.614563500128660678e+00,1.821459649775647449e-17,3.215707106548426064e-01
2.000000000000000042e-02,1.614191417081137558e+00,3.348016308635237815e-17,3.215535165378143878e-01
2.199999999999999872e-02,1.613817721676394257e+00,6.938893903907228763e-19,3.215362566374730946e-01
2.400000000000000050e-02,1.613442403188848573e+00,2.601941218364177349e-17,3.215189305665487884e-01
2.600000000000000228e-02,1.613065450801403955e+00,1.561251128379126423e-18,3.215015379347696545e-01
2.800000000000000058e-02,1.612686853604483161e+00,4.050579316405844812e-17,3.214840783488293052e-01
2.999999999999999889e-02,1.612306600595328376e+00,6.071532165918824830e-17,3.214665514123662970e-01
3.200000000000000067e-02,1.611924680677233823e+00,3.642919299551295052e-18,3.214489567259234959e-01
3.400000000000000244e-02,1.611541082658060731e+00,4.748805515486509113e-18,3.214312938869239300e-01
3.600000000000000422e-02,1.611155795249882061e+00,1.387778780781445753e-18,3.214135624896481969e-01
3.799999999999999906e-02,1.610768807067842090e+00,2.542454094478507898e-17,3.213957621251904984e-01
4.000000000000000083e-02,1.610380106629197172e+00,1.700029006457271076e-17,3.213778923814401001e-01
4.200000000000000261e-02,1.609989682352104268e+00,2.593411596585326483e-17,3.213599528430439722e-01
4.399999999999999745e-02,1.609597522554913951e+00,2.185751579730776877e-17,3.213419430913781460e-01
4.599999999999999922e-02,1.609203615455303549e+00,1.220811646218677931e-17,3.213238627045175710e-01
4.800000000000000100e-02,1.608807949169058560e+00,3.321995456495585339e-17,3.213057112571996443e-01
5.000000000000000278e-02,1.608410511708893154e+00,4.082563280494167070e-17,3.212874883207991195e-01
5.200000000000000455e-02,1.608011290983743180e+00,1.179611963664228793e-17,3.212691934632864177e-01
5.399999999999999939e-02,1.607610274798012995e+00,4.336808689942017736e-19,3.212508262492069222e-01
5.600000000000000117e-02,1.607207450849529096e+00,2.267608843753432585e-17,3.212323862396359586e-01
5.800000000000000294e-02,1.606802806729408672e+00,6.052558627900328811e-18,3.212138729921493185e-01
5.999999999999999778e-02,1.606396329920787736e+00,3.499804612783208436e-17,3.211952860607961702e-01
6.199999999999999956e-02,1.605988007797769512e+00,9.194034422677077292e-18,3.211766249960513187e-01
6.400000000000000133e-02,1.605577827623900333e+00,1.748004952589754462e-17,3.211578893447926686e-01
6.600000000000000311e-02,1.605165776551586987e+00,4.423544863740857783e-18,3.211390786502605899e-01
6.800000000000000488e-02,1.604751841621080644e+00,2.019868647340494884e-17,3.211201924520208917e-01
7.000000000000000666e-02,1.604336009758576154e+00,4.857225732735059556e-18,3.211012302859334588e-01
7.200000000000000844e-02,1.603918267776130335e+00,4.172009959724221185e-17,3.210821916841093415e-01
7.399999999999999634e-02,1.603498602369864301e+00,3.920475055707584280e-17,3.210630761748849427e-01
7.599999999999999811e-02,1.603077000118499740e+00,1.578598363138894394e-17,3.210438832827708366e-01
7.799999999999999989e-02,1.602653447483419313e+00,2.099015405931936523e-17,3.210246125284264562e-01
8.000000000000000167e-02,1.602227930805909750e+00,5.572799166575492791e-17,3.210052634286158502e-01
8.200000000000000344e-02,1.601800436307556197e+00,1.561251128379126423e-18,3.209858354961663274e-01
8.400000000000000522e-02,1.601370950087925848e+00,3.660266534311063216e-17,3.209663282399382034e-01
8.600000000000000699e-02,1.600939458123633585e+00,5.767955557622883897e-18,3.209467411647783930e-01
8.799999999999999489e-02,1.600505946267205104e+00,1.539567084929416296e-17,3.209270737714842170e-01
8.999999999999999667e-02,1.600070400246270452e+00,2.458970527197124180e-17,3.209073255567596594e-01
9.199999999999999845e-02,1.599632805660881729e+00,1.381985075422226292e-17,3.208874960131778420e-01
