# delta,gap,coarse,fine
0.000000000000000000e+00,1.570768443699956052e+00,1.652053060324787381e-17,2.695105327805938922e-01
2.000000000000000042e-03,1.571925288232643325e+00,1.452830911130575942e-17,2.691322371066697250e-01
4.000000000000000083e-03,1.573083197026827307e+00,9.540979117872439019e-18,2.687529721859006071e-01
6.000000000000000125e-03,1.574242165501942736e+00,6.071532165918824830e-18,2.683727375539644022e-01
8.000000000000000167e-03,1.575402189032349298e+00,6.938893903907228378e-18,2.679915327628236144e-01
1.000000000000000021e-02,1.576563262947251687e+00,6.071532165918824830e-18,2.676093573808294712e-01
1.200000000000000025e-02,1.577725382530507758e+00,3.198396408832238080e-18,2.672262109928223994e-01
1.400000000000000029e-02,1.578888543020482871e+00,7.372574772901430151e-18,2.668420932002425472e-01
1.600000000000000033e-02,1.580052739609671519e+00,3.686287386450715076e-18,2.664570036212317583e-01
1.800000000000000211e-02,1.581217967445001094e+00,8.673617379884035472e-18,2.660709418907333257e-01
2.000000000000000042e-02,1.582384221627249232e+00,5.637851296924623057e-18,2.656839076605994054e-01
2.199999999999999872e-02,1.583551497211029613e+00,5.637851296924623057e-18,2.652959005996954889e-01
2.400000000000000050e-02,1.584719789204784846e+00,2.818925648462311528e-18,2.649069203939998784e-01
2.600000000000000228e-02,1.585889092570424097e+00,6.924494343803905272e-18,2.645169667467093810e-01
2.800000000000000058e-02,1.587059402223214732e+00,7.372574772901430151e-18,2.641260393783357308e-01
2.999999999999999889e-02,1.588230713031771657e+00,1.084202172485504434e-17,2.637341380268176660e-01
3.200000000000000067e-02,1.589403019817819285e+00,4.336808689942017736e-18,2.633412624476142438e-01
3.400000000000000244e-02,1.590576317356052982e+00,2.602085213965210642e-18,2.629474124138059254e-01
3.600000000000000422e-02,1.591750600373719848e+00,9.540979117872439019e-18,2.625525877162039889e-01
3.799999999999999906e-02,1.592925863551153398e+00,7.372574772901430151e-18,2.621567881634405683e-01
4.000000000000000083e-02,1.594102101520975978e+00,2.168404344971008868e-18,2.617600135820768448e-01
4.200000000000000261e-02,1.595279308868205348e+00,4.336808689942017736e-18,2.613622638166999690e-01
4.399999999999999745e-02,1.596457480130254680e+00,6.505213034913026604e-19,2.609635387300214826e-01
4.599999999999999922e-02,1.597636609796445839e+00,5.637851296924623057e-18,2.605638382029743516e-01
4.800000000000000100e-02,1.598816692308258069e+00,5.854691731421723944e-18,2.601631621348197698e-01
5.000000000000000278e-02,1.599997722058954963e+00,1.111307226797642045e-17,2.597615104432365318e-01
5.200000000000000455e-02,1.601179693393440573e+00,3.035766082959412415e-18,2.593588830644237841e-01
5.399999999999999939e-02,1.602362600608412180e+00,3.469446951953614189e-18,2.589552799531955607e-01
5.600000000000000117e-02,1.603546437951788306e+00,5.241439877609610498e-18,2.585507010830795926e-01
5.800000000000000294e-02,1.604731199623000037e+00,7.372574772901430151e-18,2.581451464464131207e-01
5.999999999999999778e-02,1.605916879772616213e+00,4.770489558936219510e-18,2.577386160544381521e-01
6.199999999999999956e-02,1.607103472502203090e+00,3.903127820947815962e-18,2.573311099373954414e-01
6.400000000000000133e-02,1.608290971864549945e+00,5.637851296924623057e-18,2.569226281446225779e-01
6.600000000000000311e-02,1.609479371862901687e+00,1.626303258728256651e-18,2.565131707446467457e-01
6.800000000000000488e-02,1.610668666451577025e+00,4.336808689942017736e-18,2.561027378252777043e-01
7.000000000000000666e-02,1.611858849535408922e+00,1.648072005472692170e-17,2.556913294937018799e-01
7.200000000000000844e-02,1.613049914969575838e+00,3.469446951953614189e-18,2.552789458765722941e-01
7.399999999999999634e-02,1.614241856559941013e+00,1.886511780124777715e-17,2.548655871201067624e-01
7.599999999999999811e-02,1.615434668062405876e+00,3.252606517456513302e-18,2.544512533901734375e-01
7.799999999999999989e-02,1.616628343182993532e+00,3.035766082959412415e-18,2.540359448723838454e-01
8.000000000000000167e-02,1.617822875577985542e+00,8.673617379884035472e-18,2.536196617721836466e-01
8.200000000000000344e-02,1.619018258853586190e+00,1.257674520083185143e-17,2.532024043149412318e-01
8.400000000000000522e-02,1.620214486565872747e+00,2.168573751560459728e-17,2.527841727460394816e-01
8.600000000000000699e-02,1.621411552220575203e+00,4.770489558936219510e-18,2.523649673309572017e-01
8.799999999999999489e-02,1.622609449273136661e+00,1.994931997373328159e-17,2.519447883553668777e-01
