Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,Well,Lithology
W6-2*,3146.54,0.76,0.23,0.86,449.0,W6,Limestone
W6-3*,3152.82,3.17,0.02,20.2,451.0,W6,Mudstone
W6-4*,3183.36,1.53,1.79,5.75,450.0,W6,Mudstone
W6-5*,3209.61,3.65,0.27,10.72,449.0,W6,Mudstone
W6-6*,3221.79,0.91,0.37,0.9,443.0,W6,Mudstone
W6-7*,3235.05,1.38,0.21,1.54,445.0,W6,Mudstone
W6-8*,3261.23,1.81,0.12,6.35,446.0,W6,Mudstone
W6-9*,3283.74,0.61,0.02,1.02,442.0,W6,Mudstone
W6-10*,3285.81,0.61,0.01,1.06,444.0,W6,Siltstone
W6-11*,3288.27,8.18,1.58,48.05,445.0,W6,Siltstone
W6-12*,3292.49,2.79,2.4,6.42,441.0,W6,Siltstone
W6-13*,3295.24,0.53,0.07,1.42,445.0,W6,Mudstone
W6-14*,3296.61,5.01,8.75,13.92,445.0,W6,Mudstone
W6-15*,3299.1,8.42,1.74,47.89,448.0,W6,Mudstone
W6-16*,3301.42,1.95,1.41,3.25,439.0,W6,Mudstone
W6-17*,3302.68,0.97,0.34,0.94,445.0,W6,Mudstone
W6-18*,3305.33,0.65,0.03,1.42,449.0,W6,Mudstone
W6-19*,3309.4,3.76,0.39,16.24,453.0,W6,Mudstone
W6-20*,3312.59,0.76,0.5,0.36,441.0,W6,Mudstone
W6-21*,3316.35,0.6,0.41,0.6,449.0,W6,Siltstone
W6-22*,3318.01,1.77,4.06,4.81,436.0,W6,Mudstone
W6-23*,3320.91,3.31,4.39,11.45,441.0,W6,Mudstone
W6-24*,3323.38,4.72,1.46,18.91,449.0,W6,Mudstone
W6-25*,3326.83,3.23,6.02,11.21,450.0,W6,Mudstone
W6-26*,3327.94,2.91,0.69,9.86,445.0,W6,Mudstone
W6-27*,3329.68,5.56,0.6,33.82,455.0,W6,Mudstone
W6-28*,3332.81,1.17,0.49,1.86,451.0,W6,Mudstone
W6-29*,3335.41,5.3,0.22,29.3,453.0,W6,Mudstone
W6-30*,3337.43,5.82,0.93,23.63,453.0,W6,Mudstone
W6-31*,3344.75,1.83,2.69,3.41,447.0,W6,Mudstone
