Name,Depth (ft),Depth (m),TC_Leco (%),TOC_Leco (%),S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg HC/g rock),Tmax (°C),HI (mg HC/g TOC),OI (mg CO2/g TOC),PI,Leco_S %,Al %,Ca %,Fe %,K %,Mg %,P %,S %,Si %,Ti %,Ag ppm,As ppm,B ppm,Ba ppm,Be ppm,Bi ppm,Cd ppm,Ce ppm,Co ppm,Cr ppm,Cs ppm,Cu ppm,Dy ppm,Er ppm,Eu ppm,Ga ppm,Gd ppm,Ge ppm,Hf ppm,Ho ppm,In ppm,La ppm,Li ppm,Lu ppm,Mn ppm,Mo ppm,Nb ppm,Nd ppm,Ni ppm,Pb ppm,Pr ppm,Rb ppm,Re ppm,Sb ppm,Sc ppm,Se ppm,Sm ppm,Sn ppm,Sr ppm,Ta ppm,Tb ppm,Te ppm,Th ppm,Tl ppm,Tm ppm,U ppm,V ppm,W ppm,Y ppm,Yb ppm,Zn ppm,Zr ppm
E180601-013,551.3,168.1,6.91,3.14,0.18,12.94,0.67,418,412,21,0.01,1.34,6.99,11.8,2.72,1.5,0.72,0.04,1.32,16.6,0.35,<1,14,89,215,<5,0.2,1.2,77.3,12,75,5.6,30,3.3,1.85,1.03,18,3.94,1,4,0.67,<0.2,41.7,60,0.29,194,31,36,27.7,69,14,7.99,100,0.06,1.9,11,4,4.8,2,665,1.6,0.57,<0.05,10.6,2.6,0.27,7.48,314,1,17.1,1.8,100,129
E170504-177,551.5,168.1,6.9,3.1,0.15,13.83,0.48,415,449,16,0.01,,7.29,11.9,2.75,1.39,0.76,0.04,1.3,16.1,0.37,<1,16,89,222,<5,0.2,1.1,76.3,12.9,75,5.7,29,3.34,1.92,1.07,19.5,4.43,2,3,0.7,<0.2,41.6,57,0.28,236,33,38.7,27.4,66,15,8.27,109,,1.8,11,<5,4.6,3,624,1.8,0.64,<0.5,11.7,2.6,0.3,7.63,318,1,19.3,1.9,105,141
E170504-178,553.4,168.7,6.4,3.2,0.16,13.50,0.39,417,421,12,0.01,,7.67,10.6,3.03,1.44,0.81,0.05,1.5,17.7,0.44,<1,17,92,237,<5,0.3,0.6,70,14.6,76,5.6,31,3.48,1.93,1.07,20.3,4.38,2,3,0.66,<0.2,38.5,54,0.26,193,29,35,26.6,60,16,8.06,109,,1.7,12,<5,5,1,647,1.8,0.62,<0.5,11.3,2.5,0.29,9.65,223,1,18.6,1.9,80,148
E170504-179,555.4,169.3,6.2,3.6,0.17,15.23,0.46,418,421,13,0.01,,7.83,8.52,3.07,1.57,0.86,0.05,1.6,18.6,0.42,<1,17,101,252,<5,0.3,1.2,68.4,14.5,82,7.1,36,3.39,1.78,1.07,20.3,4.14,1,4,0.57,<0.2,41,54,0.27,182,38,34.9,27.7,72,16,7.24,114,,2.2,13,<5,5.1,2,546,1.9,0.56,<0.5,11.9,3,0.26,10.5,401,2,16.1,2,100,150
E170504-180,557.4,169.9,9.6,3.3,0.20,15.97,0.64,414,482,19,0.01,,4.49,20.2,2.11,0.87,0.57,0.06,1.6,11,0.29,<1,15,61,155,<5,0.2,2.8,70.1,9.5,54,3.6,30,2.86,1.59,1.01,12.6,3.97,<1,3,0.54,<0.2,42.5,31,0.25,240,38,35.2,25.8,69,12,6.73,57.6,,1.9,8,5,4.5,1,721,1.6,0.48,<0.5,8.1,3.2,0.24,10.9,336,1,16.4,1.7,144,124
E180601-014,558.1,170.1,7.25,3.80,0.32,18.90,0.72,413,497,19,0.02,1.42,6.97,10.7,2.63,1.3,0.76,0.07,1.38,17,0.37,<1,15,86,212,<5,0.3,1.1,81.8,12.8,62,5.3,31,3.48,1.88,1.18,19,4.4,1,3,0.7,<0.2,42.6,45,0.27,206,44,32,31.8,75,15,8.81,95,0.08,2.1,11,4,5.9,1,670,1.5,0.61,0.06,10.2,2.9,0.26,11.56,276,1,16.9,1.9,94,129
E170504-181,558.5,170.2,7.7,4.0,0.23,19.16,0.49,415,481,12,0.01,,6.76,12.3,2.67,1.34,0.79,0.05,1.6,16.3,0.38,<1,16,91,220,<5,0.2,1.5,67.2,13.9,66,5.6,33,3.15,1.64,0.99,17.2,3.96,1,3,0.52,<0.2,37.5,41,0.26,235,48,32.9,26,71,14,6.56,92.5,,2.5,11,<5,4.7,2,675,1.6,0.53,<0.5,10.2,2.9,0.25,12,272,1,15.2,1.8,102,145
E170504-182,561.5,171.2,6.7,3.7,0.20,16.49,0.53,414,443,14,0.01,,7.53,10,2.85,1.4,0.85,0.04,1.6,18.1,0.44,<1,17,95,230,<5,0.3,1,72.1,13.2,74,6.2,39,3.31,1.8,0.93,19.4,3.73,1,4,0.5,<0.2,42.6,52,0.23,148,36,46.3,25.6,75,16,6.83,96.6,,2.4,11,5,4.3,2,665,2.3,0.51,<0.5,12.7,2.9,0.24,10.4,293,1,15.4,1.9,96,184
E170504-183,563.4,171.7,<0.2,<0.2,,,,,,,,,9.84,0.77,3.24,0.33,2.16,0.11,1.7,23.3,0.49,<1,12,55,231,<5,0.2,0.3,31.5,13,18,0.3,25,1.33,0.59,0.5,19.5,1.99,<1,7,0.19,<0.2,13.8,30,0.07,82,12,14.9,13.8,26,21,3.38,13,,2.5,8,<5,2.5,3,803,0.9,0.26,<0.5,11.8,<0.5,0.06,4.45,72,<1,5.5,0.5,87,230
E220102-048,563.9,171.9,2.10,1.05,0.09,3.86,0.47,419,368,45,0.02,,8.75,3.9,1.47,0.49,2.05,0.04,0.6,22.4,0.19,<1,8,61,206,<5,0.2,0.4,56.9,4.1,15,1.2,12,1.86,0.85,0.7,17.9,2.43,<1,3,0.35,<0.2,27.8,37,0.1,121,10,11.4,21.4,17,15,6.08,21.1,0.04,1.5,6,<5,3.7,<1,833,0.9,0.31,0.8,8.3,0.8,0.12,4.74,139,<1,6.8,0.8,68,120
