Name,Depth (ft),Depth (m),TC_Leco (%),TOC_Leco (%),S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg HC/g rock),Tmax (°C),HI (mg HC/g TOC),OI (mg CO2/g TOC),PI,Leco_S %,Al %,Ca %,Fe %,K %,Mg %,P %,S %,Si %,Ti %,Ag ppm,As ppm,B ppm,Ba ppm,Be ppm,Bi ppm,Cd ppm,Ce ppm,Co ppm,Cr ppm,Cs ppm,Cu ppm,Dy ppm,Er ppm,Eu ppm,Ga ppm,Gd ppm,Ge ppm,Hf ppm,Ho ppm,In ppm,La ppm,Li ppm,Lu ppm,Mn ppm,Mo ppm,Nb ppm,Nd ppm,Ni ppm,Pb ppm,Pr ppm,Rb ppm,Re ppm,Sb ppm,Sc ppm,Se ppm,Sm ppm,Sn ppm,Sr ppm,Ta ppm,Tb ppm,Te ppm,Th ppm,Tl ppm,Tm ppm,U ppm,V ppm,W ppm,Y ppm,Yb ppm,Zn ppm,Zr ppm
E180601-022,603.1,183.8,8.88,6.24,0.60,33.82,0.78,413,542,13,0.02,1.91,6.88,8.6,2.64,1.5,0.68,0.07,1.88,18.9,0.51,<1,16,101,201,<5,0.3,0.9,93.1,10.6,83,5.2,43,4.78,2.69,1.48,18,5.58,1,5,0.89,<0.2,47.9,56,0.39,212,17,42,38,59,15,10.39,83.1,0.08,1,12,3,6.7,2,495,2.1,0.78,0.07,11.6,1,0.37,7.13,141,2,23.9,2.5,147,185
E170504-202,603.5,184.0,7.9,5.7,0.35,31.53,0.54,411,550,9,0.01,,6.74,7.63,2.72,1.4,0.71,0.07,1.9,19.1,0.53,1,19,99,216,<5,0.4,0.4,83.3,11.9,85,5.3,44,4.81,2.49,1.37,17.4,5.39,1,6,0.77,<0.2,46.1,54,0.36,211,18,42.8,36.5,54,15,8.92,83.7,,0.7,12,5,6.4,3,472,2.7,0.74,<0.5,12.9,1,0.37,7.41,147,2,22.8,2.8,75,222
E170504-203,605.5,184.6,8.9,5.0,0.32,26.56,0.52,412,534,10,0.01,,6.46,12.6,2.48,1.08,0.86,0.05,2,14.6,0.34,<1,15,91,170,<5,0.6,0.4,67.2,9.9,62,4.6,41,3.91,2.14,1.01,17,4.44,<1,4,0.65,<0.2,37.4,50,0.32,231,28,27.7,28.2,55,18,7.17,66.4,,1.3,9,<5,5.2,9,627,1.9,0.62,<0.5,15.7,1.7,0.31,9.99,128,1,18.9,2.3,64,140
E170504-204,607.5,185.2,8.1,5.3,0.38,27.80,0.66,412,526,12,0.01,,5.54,9.42,2.36,1.26,0.63,0.07,1.8,19.5,0.45,<1,15,84,194,<5,0.3,0.3,66.4,9.4,80,4.7,42,4.03,2.21,1.23,14.6,4.75,<1,6,0.65,<0.2,39.3,43,0.29,203,16,34.8,30.1,51,14,7.71,71.7,,0.6,10,<5,5.4,2,447,2.3,0.65,<0.5,10.2,0.9,0.32,5.97,122,1,20.2,2.2,75,208
E170504-205,608.7,185.5,8.1,4.8,0.31,25.41,0.54,413,530,11,0.01,,6.2,11.8,2.34,1.34,0.71,0.06,1.6,16.6,0.43,<1,10,88,189,<5,0.3,0.9,65.4,9.9,78,5.6,39,3.62,2.05,1.05,15.8,4.3,1,4,0.65,<0.2,37.1,47,0.31,183,12,33.8,27,55,13,6.9,83.8,,0.6,11,<5,4.8,2,531,2.2,0.58,<0.5,10.7,1,0.28,5.47,127,1,18.3,2.2,154,166
E170504-206,611.0,186.2,5.6,4.0,0.19,17.72,0.41,416,439,10,0.01,,7.75,5.54,3.76,1.64,0.84,0.07,2.8,20.8,0.55,<1,26,112,235,<5,0.3,0.3,75.9,13.1,81,6.3,38,3.99,2.29,1.18,19,4.64,1,6,0.65,<0.2,42.9,61,0.33,192,18,45.5,32,52,16,8.06,102,,1.1,12,<5,5.5,3,440,2.7,0.61,<0.5,13.2,1,0.32,5.93,140,2,19.5,2.5,85,232
E180601-023,612.8,186.8,9.76,6.21,0.55,33.11,0.80,417,533,13,0.02,1.96,6.13,11.3,2.52,1.3,0.72,0.07,1.86,15.8,0.37,<1,13,89,183,<5,0.3,0.4,75.2,9.5,62,4.8,48,4.04,2.22,1.18,16,4.59,<1,4,0.8,<0.2,38.7,41,0.32,221,19,28,30.6,55,14,8.35,77.3,0.09,0.7,10,3,5.6,<1,527,1.4,0.68,0.09,9.9,1.3,0.33,6.32,127,1,21.4,2.3,84,145
E170504-207,613.0,186.8,9.7,6.6,0.44,35.24,0.64,413,532,10,0.01,,5.93,10.9,2.52,1.33,0.74,0.07,1.9,15.7,0.38,<1,14,91,182,<5,0.4,0.4,65.8,9.8,68,5.4,46,4.06,2.41,1.27,16.3,4.68,1,4,0.66,<0.2,37.8,44,0.36,223,21,29.3,29.9,53,16,7.27,78.9,,0.7,10,<5,5.4,2,518,1.8,0.67,<0.5,10.8,1.2,0.32,6.96,126,1,20.8,2.4,80,163
E170504-208,615.0,187.5,10.7,6.3,0.42,32.33,0.67,413,511,11,0.01,,5.69,14.8,2.49,1.28,0.78,0.07,2,13.6,0.32,<1,16,86,166,<5,0.5,0.7,54.8,10.2,60,4.8,46,4.44,2.55,0.97,15.8,4.53,1,4,0.72,<0.2,32.3,36,0.44,291,25,27.8,24.9,59,14,6.14,67.6,,1.2,8,<5,4.6,2,636,1.5,0.63,0.7,9.3,2.1,0.4,8.68,185,1,24.2,3,81,156
E220102-021,615.4,187.6,10.42,6.05,0.26,33.67,1.06,416,557,18,0.01,,5.58,13.6,2.58,1.18,0.68,0.07,2,13.8,0.32,<1,18,79,165,<5,0.4,0.8,57.8,9.8,65,4.2,43,3.07,1.88,0.97,17.2,4.15,<1,4,0.68,<0.2,30.1,22,0.3,285,23,28.9,23,54,16,6.54,64.3,0.09,1.1,9,<5,4.4,<1,543,1.9,0.54,<0.5,8.7,1.6,0.32,6.63,160,1,18.8,2.2,76,140
E170504-209,617.0,188.1,8.0,2.9,0.19,13.68,0.44,417,468,15,0.01,,3.86,16.4,2.02,0.87,0.49,0.1,1.6,17.4,0.33,<1,14,60,143,<5,0.2,0.4,58.4,7,45,2.5,25,3.61,2.03,1.05,10.2,4.09,<1,5,0.61,<0.2,31.2,29,0.3,436,15,24.6,24.6,31,10,6.11,41.3,,0.6,6,<5,4.7,1,567,2,0.57,<0.5,8,1.2,0.28,5.69,84,1,19.3,2.1,50,201
E220102-020,617.1,188.1,8.24,5.18,0.2,26.77,0.74,414,517,14,0.01,,6.55,9.8,2.57,1.3,0.72,0.04,1.6,17.9,0.41,<1,15,90,184,<5,0.4,0.4,53.3,9.9,72,5.2,38,3.24,1.68,0.76,18.5,3.06,<1,4,0.48,<0.2,27.9,39,0.34,210,15,33.4,20,41,17,5.99,75.1,0.07,0.5,10,<5,3.4,1,474,1.9,0.5,3.1,11.2,1,0.31,5.35,106,1,16.1,2,65,161
E170504-210,619.0,188.7,5.2,3.3,0.08,13.18,0.58,420,401,18,0.01,,5.92,5.91,2.63,1.31,0.59,0.06,1.8,23.9,0.63,1,17,90,215,<5,0.3,0.2,72,11.1,78,4.5,32,4.81,2.74,1.18,16.6,5.19,1,8,0.8,<0.2,39.4,48,0.39,183,12,44,31.3,45,15,7.8,78.6,,0.7,11,<5,5.7,2,335,2.9,0.74,<0.5,13.2,1,0.41,5.55,122,2,24.1,3,62,293
E170504-211,621.0,189.3,2.9,2.2,0.05,7.43,0.32,423,332,14,0.01,,6.81,2.12,2.66,1.37,0.6,0.07,1.4,28.4,0.78,1,14,92,245,<5,0.2,<0.2,94.7,11.2,91,5.3,27,5.27,3.19,1.53,17.1,5.83,1,11,0.91,<0.2,52,60,0.42,105,5,53.2,39.5,40,15,10.1,89.1,,0.5,13,<5,6.8,2,279,3.6,0.86,<0.5,13.8,0.6,0.43,4.88,116,2,26.1,3.2,82,425
E170504-212,623.0,189.9,2.0,1.7,0.06,4.15,0.20,420,240,12,0.01,,7.93,0.98,4.91,1.58,0.69,0.1,3.6,24.8,1.02,1,17,113,304,<5,0.2,<0.2,128,22.2,102,6,55,6.12,3.42,2.08,21.6,7.59,1,10,0.93,<0.2,72.5,73,0.47,175,6,83.6,54.1,52,18,13.6,107,,0.6,17,<5,9.2,6,314,5.3,0.96,<0.5,16.5,0.7,0.46,5.71,174,2,29.3,3.4,82,357
E170504-213,625.0,190.5,3.1,2.7,0.05,8.21,0.54,422,307,20,0.01,,9.57,1.52,4.52,1.86,0.85,0.08,3,21.9,0.92,1,17,128,319,<5,0.3,<0.2,133,20,110,7.6,47,6.17,3.35,2.16,26.4,7.75,1,7,1.01,<0.2,74.6,97,0.44,194,7,73.8,55.5,58,21,14.3,133,,0.6,20,<5,9.3,4,347,4.8,1.04,<0.5,18.3,0.8,0.43,5.89,181,2,27.6,3.1,80,290
E180601-024,626.8,191.0,2.85,2.61,0.21,9.81,0.29,423,376,11,0.02,2.30,7.03,0.8,3.28,1.5,0.66,0.08,2.22,27.2,0.76,<1,13,109,254,<5,0.2,<0.2,113,13,91,5.3,34,5.89,3.25,1.8,19,6.69,1,10,1.18,<0.2,56.4,69,0.5,175,6,48,46.6,46,16,12.75,98.2,0.02,0.5,15,1,8.2,2,269,2.8,1,0.08,14,0.7,0.5,4.68,131,2,30.7,3.3,57,350
E170504-214,627.0,191.1,4.0,3.8,0.09,14.46,0.47,420,385,13,0.01,,7.67,0.87,3.54,1.64,0.77,0.08,2.2,25.9,0.79,1,14,113,268,<5,0.3,<0.2,110,14.7,95,6.5,42,6.32,3.61,1.79,22.1,6.89,1,9,1.02,<0.2,58.2,77,0.5,160,7,56,46.7,49,18,11.4,109,,0.6,16,<5,8.3,3,293,3.7,0.96,0.6,15.7,0.8,0.51,5.11,145,2,30.1,3.7,60,345
E170504-215,629.0,191.7,2.0,1.7,0.07,5.71,0.27,422,336,16,0.01,,5.18,0.86,2.12,1.13,0.48,0.07,1.2,32.9,0.65,<1,8,80,207,<5,0.2,<0.2,86.8,13.2,73,4,38,5.87,3.42,1.62,14,6.45,1,13,1.01,<0.2,46,49,0.5,103,3,42.6,38,30,12,9.55,74.9,,0.5,11,<5,7,7,193,2.9,0.92,<0.5,12.7,<0.5,0.51,4.4,92,2,31.9,3.7,44,495
E170504-216,631.0,192.3,4.5,4.2,0.10,17.26,0.58,423,412,14,0.01,,9.34,1.33,3.39,1.81,0.9,0.08,1.7,23.5,0.82,1,10,126,279,<5,0.4,<0.2,109,14.2,109,8.2,40,6.52,3.48,1.85,25.6,7.08,2,8,1.04,<0.2,61,88,0.51,153,4,57.7,47.7,54,22,11.8,134,,0.5,18,<5,8.5,3,358,3.8,0.97,<0.5,18.1,0.8,0.5,4.78,163,2,30.4,3.6,73,281
E220102-018,631.5,192.5,2.50,2.36,0.15,7.58,0.41,428,321,17,0.02,,7.56,0.86,3.17,1.49,0.7,0.06,1.7,29.1,0.79,<1,9,106,264,<5,0.2,<0.2,86.5,11.9,104,5.5,30,4.77,3.08,1.21,22.7,5.6,1,9,1.03,<0.2,46.5,64,0.45,179,2,60.6,34.1,40,20,9.32,108,<0.02,0.4,15,<5,5.8,3,277,3.6,0.81,0.8,14,0.5,0.45,4.36,139,2,26,2.9,56,336
E170504-217,633.0,192.9,1.0,1.0,0.02,2.01,0.29,423,205,30,0.01,,4.84,0.26,2.35,1.03,0.44,0.07,1.5,34.6,0.7,<1,7,78,213,<5,0.1,<0.2,87.3,10,79,3.9,21,5.51,3.1,1.49,13.3,5.9,1,14,0.91,<0.2,45.2,43,0.45,125,2,43.6,37.8,28,12,9.29,71.3,,0.4,11,<5,6.8,2,163,3,0.84,<0.5,11.6,<0.5,0.42,3.77,96,2,27.7,3.4,44,497
E170504-218,635.0,193.6,1.0,0.9,0.03,1.31,0.33,429,147,37,0.02,,4.56,0.52,3.18,1.01,0.42,0.06,2.5,33.4,0.61,<1,10,75,199,<5,0.1,<0.2,85,10.4,68,3.6,18,5.29,3.13,1.53,12.4,6.14,1,13,0.92,<0.2,43.4,43,0.47,92,<2,37.1,37.7,25,13,9.21,72.2,,0.3,10,<5,7,2,159,2.5,0.83,<0.5,11.3,<0.5,0.43,3.16,87,2,26,3.3,40,440
E180601-025,636.8,194.1,1.31,1.20,0.09,2.34,0.27,428,195,23,0.04,2.71,6.41,0.4,3.59,1.3,0.56,0.07,2.71,>30.0,0.86,<1,11,110,248,<5,0.2,<0.2,109,13.8,111,5.2,29,6.4,3.76,1.74,17,6.67,1,12,1.26,<0.2,54.3,62,0.56,175,2,44,45.4,38,20,12.22,91.4,<0.02,0.6,14,<1,8.2,2,218,2.8,1.05,<0.05,13,0.6,0.56,4.73,128,2,32.8,3.9,94,448
E170504-219,637.0,194.2,0.9,0.9,,,,,,,,,5.02,0.24,2.9,1,0.46,0.07,2,32.3,0.75,<1,12,81,217,<5,0.1,<0.2,100,11,99,4.4,19,5.66,2.97,1.67,13.8,6.3,1,13,0.92,<0.2,52.2,47,0.47,110,3,52.1,44,31,14,10.8,75.2,,0.4,12,<5,7.4,2,169,3.9,0.84,<0.5,13.1,<0.5,0.44,5,108,2,25.9,3.2,44,495
E170504-220,639.0,194.8,0.4,<0.2,,,,,,,,,1.55,1.13,0.93,0.32,0.15,0.13,0.6,40.7,0.33,<1,<5,25,103,<5,<0.1,<0.2,48.7,5.5,59,1,6,2.47,1.24,0.91,4.03,3.4,<1,8,0.39,<0.2,25.9,13,0.17,166,<2,21.6,23.3,14,<5,5.81,21.7,,0.1,<5,<5,4,<1,111,1.8,0.42,<0.5,5,<0.5,0.16,1.36,43,<1,11.9,1.2,14,298
E220102-019,639.3,194.9,6.50,<0.2,0.02,0.05,0.31,427,,,0.29,,1.03,21,1.32,0.27,0.25,0.03,0.5,18.5,0.13,<1,<5,23,62.9,<5,<0.1,<0.2,19.9,3.6,22,1,<5,0.89,0.63,0.32,3.37,1.24,<1,1,0.16,<0.2,10.5,<10,0.05,739,<2,11.5,8.5,<5,<5,1.94,15.6,<0.02,<0.1,<5,<5,1.2,<1,570,0.6,0.15,1.4,1.8,<0.5,0.09,0.61,26,<1,5.3,0.6,12,52.1
E170504-221,645.0,196.6,0.6,0.4,0.00,0.21,0.21,428,54,54,0.00,,4.34,0.42,3.04,1,0.56,0.09,1.3,34.4,0.68,<1,9,64,199,<5,0.1,<0.2,85.5,16.7,67,3.2,18,5.64,3.13,1.63,12.2,6.14,2,12,0.95,<0.2,45,35,0.43,156,<2,43,39.8,27,14,9.53,63.7,,0.4,10,<5,7.1,2,188,2.9,0.85,<0.5,10,<0.5,0.44,2.84,111,2,28.1,3.2,53,446
E170504-222,647.0,197.2,0.7,0.6,,,,,,,,,5.27,0.49,5.42,1.14,0.67,0.12,3.6,29.8,0.83,1,20,90,215,<5,0.2,<0.2,105,31.5,78,4.1,46,6.77,3.86,2.07,14.8,8.19,2,14,1.1,<0.2,55.1,44,0.53,163,<2,52,49.5,42,19,11.9,78.1,,0.9,12,<5,9.3,9,257,3.4,1.09,<0.5,11.9,<0.5,0.5,3.31,139,2,32.5,3.7,99,517
E170504-223,648.5,197.7,1.1,0.8,,,,,,,,,6.87,0.54,4.42,1.38,0.89,0.09,1.6,27.9,0.93,1,13,96,239,<5,0.2,<0.2,109,21.1,86,5.5,26,6.39,3.51,1.95,19.4,7.14,2,11,1.07,<0.2,59.5,57,0.48,192,<2,59.8,47,33,17,11.7,94.5,,0.5,16,<5,8.4,3,303,3.9,1.02,<0.5,13.7,<0.5,0.48,3.62,163,2,31.3,3.4,64,384
E180601-026,651.3,198.5,0.97,0.75,0.04,0.42,0.25,430,56,33,0.09,1.57,8.15,0.4,4.21,1.5,0.85,0.08,1.62,26.3,1.02,<1,10,117,247,<5,0.2,<0.2,116,21.2,113,5.2,29,6.37,3.57,1.88,22,7.07,1,10,1.27,<0.2,59.2,69,0.54,178,<2,53,47.9,89,18,12.9,95.3,<0.02,0.6,18,<1,8.5,3,316,3.1,1.05,<0.05,14.1,<0.5,0.5,3.68,174,2,32.3,3.5,64,350
E170504-224,651.5,198.6,1.1,0.8,0.02,0.47,0.21,428,56,25,0.04,,8.77,0.43,4.43,1.58,0.97,0.08,1.4,25.4,1.04,1,12,114,259,<5,0.3,<0.2,113,20.5,92,6,28,6.79,3.67,2.16,24,7.88,2,9,1.12,<0.2,64.6,73,0.49,158,<2,62.3,50.8,34,18,12.8,106,,0.5,18,<5,8.6,3,328,4.4,1.11,<0.5,16.2,<0.5,0.51,4.28,181,2,31.9,3.7,67,345
E170504-225,653.5,199.2,1.2,1.1,,,,,,,,,7.24,0.34,4.04,1.45,0.71,0.07,1.9,29.8,0.92,1,15,101,246,<5,0.2,<0.2,110,19.4,94,5.8,22,6.57,3.55,1.86,19.5,7.09,2,10,1.07,<0.2,57.7,65,0.47,76,<2,55.3,46.7,35,17,11.7,101,,0.5,16,<5,8.1,2,270,3.7,0.99,<0.5,14.2,<0.5,0.49,3.8,154,2,30.9,3.7,53,388
E220102-026,655.5,199.8,0.40,<0.2,0.02,0.06,0.31,427,,,0.25,,0.63,0.25,1.58,0.2,0.23,0.05,<0.1,42.7,0.13,<1,<5,18,58.1,<5,<0.1,<0.2,26.2,9.4,24,0.5,32,1.59,0.79,0.67,2.98,2.24,<1,2,0.31,<0.2,11.9,11,0.08,146,<2,7.4,12.8,<5,<5,3.24,9.6,<0.02,<0.1,<5,<5,2.5,6,39,<0.5,0.27,<0.5,1.9,<0.5,0.12,0.53,33,<1,7.1,0.7,12,67.6
