map#,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev_feet,Ref,sample#,top_feet,bottom_feet,Formation,%carbonate_(TC-TOC)*8.33,%carbonate_insoluble_residue,%carbonate_XRD,Tmax°C,S1_mgHC/g-rock,S2_mgHC/g-rock,GP_S1+S2,S3_mgCO2/g-rock,PI_S1/(S1+S2),S2/S3,LECO_TOC_wt.%,TC_wt.%,HI_(S2/TOC)*100,OI_(S3/TOC)*100,(S1/TOC)*100,CRC,LIMS_ID,Lab,comments
6,4904305155,Continental Oil,Govt. 1,43.962865,-107.499705,46N,89W,11,sw sw,Sixth Principal,"4,934",KB,BHB-2017-15,"1,925","1,940",chalk kick,39.48,,,418,0.65,11.77,12.42,1.86,0.05,6,3.54,8.28,332,53,18,CZ00526,E170806-016,USGS,
7,4904305068,Arrowhead Expl.,Federal 14-27,43.751195,-107.894723,44N,92W,27,sw sw,Sixth Principal,"4,672",KB,BHB-2017-16,"1,930","1,960",chalk kick,12.08,,11,427,0.2,2.75,2.95,0.5,0.07,6,1.56,3.01,176,32,13,CZ05131,E170806-017,USGS,
7,4904305068,Arrowhead Expl.,Federal 14-27,43.751195,-107.894723,44N,92W,27,sw sw,Sixth Principal,"4,672",KB,BHB-2017-17,"1,990","2,010",Sage Breaks,19.66,,18,426,0.27,2.76,3.03,0.66,0.09,4,1.84,4.2,150,36,15,CZ05131,E170806-018,USGS,
8,4904305069,Sohio Pet.,Govt. Wilson 1,43.756939,-107.783311,44N,91W,28,sw ne,Sixth Principal,"4,594",KB,BHB-2017-18,"3,680","3,700",chalk kick,34.4,,30,415,0.59,13.27,13.86,1,0.04,13,3.24,7.37,410,31,18,CZ02194,E170806-019,USGS,
8,4904305069,Sohio Pet.,Govt. Wilson 1,43.756939,-107.783311,44N,91W,28,sw ne,Sixth Principal,"4,594",KB,BHB-2017-19,"3,730","3,760",Sage Breaks,22.57,,,427,0.33,4.2,4.53,0.75,0.07,6,2.43,5.14,173,31,14,CZ02194,E170806-020,USGS,
9,4901705332,Cosden Pet.,1 Govt.,43.6949,-107.74286,43N,91W,14,nw se,Sixth Principal,"4,816",KB,BHB-2017-20a,"1,250","1,290",chalk kick,48.23,,44,416,0.56,14.71,15.27,1.49,0.04,10,3.59,9.38,410,42,16,CZ01209,E170806-021,USGS,
9,4901705332,Cosden Pet.,1 Govt.,43.6949,-107.74286,43N,91W,14,nw se,Sixth Principal,"4,816",KB,BHB-2017-20b,"1,250","1,290",chalk kick,26.41,,21,424,0.36,5.35,5.71,1.13,0.06,5,2.4,5.57,223,47,15,CZ01209,E170806-022,USGS,
10,4901706516,Superior Oil,Kinahan-Govt. 27-7,43.964852,-108.787558,46N,99W,7,sw sw,Sixth Principal,"6,653",KB,BHB-2017-21,"3,820","3,850",chalk kick,7.16,,5,431,0.17,1.32,1.49,0.46,0.11,3,1.26,2.12,105,37,13,CZ00071,E170806-023,USGS,
10,4901706516,Superior Oil,Kinahan-Govt. 27-7,43.964852,-108.787558,46N,99W,7,sw sw,Sixth Principal,"6,653",KB,BHB-2017-22,"3,880","3,900",Sage Breaks,5.75,,4,434,0.19,0.82,1.01,0.45,0.19,2,1.1,1.79,75,41,17,CZ00071,E170806-024,USGS,
10,4901706516,Superior Oil,Kinahan-Govt. 27-7,43.964852,-108.787558,46N,99W,7,sw sw,Sixth Principal,"6,653",KB,BHB-2017-23,"3,700","3,750",Niobrara,6.91,,5,431,0.19,0.6,0.79,0.64,0.24,1,1.01,1.84,59,63,19,CZ00071,E170806-025,USGS,
10,4901706516,Superior Oil,Kinahan-Govt. 27-7,43.964852,-108.787558,46N,99W,7,sw sw,Sixth Principal,"6,653",KB,BHB-2017-24,"3,600","3,650",Niobrara,7.25,,4,433,0.14,0.65,0.79,0.58,0.18,1,0.97,1.84,67,60,14,CZ00071,E170806-026,USGS,
11,4902920096,A. G. Hill,1 Govt.,44.36179,-108.95819,51N,101W,26,ne ne,Sixth Principal,"5,567",KB,BHB-2017-25,770,810,chalk kick,12.74,,12,424,0.36,4.41,4.77,0.71,0.08,6,1.82,3.35,242,39,20,CZ09021,E170806-027,USGS,
11,4902920096,A. G. Hill,1 Govt.,44.36179,-108.95819,51N,101W,26,ne ne,Sixth Principal,"5,567",KB,BHB-2017-26,810,830,Sage Breaks,16.91,,,417,0.45,10.5,10.95,0.99,0.04,11,3.16,5.19,332,31,14,CZ09021,E170806-028,USGS,
12,4902920586,C & K Pet.,1 B.N.,44.96121,-108.69089,58N,98W,33,sw se,Sixth Principal,"4,466",KB,BHB-2017-27,"2,450","2,500",chalk kick,11.33,,10,430,0.19,2.1,2.29,0.36,0.08,6,1.21,2.57,174,30,16,CZ11516,E170806-029,USGS,
