map#,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev_feet,Ref,sample#,top_feet,bottom_feet,Formation,%carbonate_(TC-TOC)*8.33,%carbonate_insoluble_residue,%carbonate_XRD,Tmax°C,S1_mgHC/g-rock,S2_mgHC/g-rock,GP_S1+S2,S3_mgCO2/g-rock,PI_S1/(S1+S2),S2/S3,LECO_TOC_wt.%,TC_wt.%,HI_(S2/TOC)*100,OI_(S3/TOC)*100,(S1/TOC)*100,CRC,LIMS_ID,Lab,comments
28,4901705404,G.L. Reasor,Govt. 1,43.724795,-108.754923,43N,99W,5,se ne,Sixth Principal,"5,989",KB,BHB-2017-72,"1,660","1,690",Sage Breaks,19.24,,16,426,0.29,3.77,4.06,0.87,0.07,4,1.82,4.13,207,48,16,CZ00867,E170807-034,USGS,
28,4901705404,G.L. Reasor,Govt. 1,43.724795,-108.754923,43N,99W,5,se ne,Sixth Principal,"5,989",KB,BHB-2017-73,"1,460","1,490",Niobrara,18.74,,14,426,0.19,0.94,1.13,0.5,0.17,2,0.92,3.17,102,54,21,CZ00867,E170807-035,USGS,
28,4901705404,G.L. Reasor,Govt. 1,43.724795,-108.754923,43N,99W,5,se ne,Sixth Principal,"5,989",KB,BHB-2017-74,"1,550","1,590",Niobrara,12.16,,11,425,0.27,3.06,3.33,0.9,0.08,3,1.76,3.22,174,51,15,CZ00867,E170807-036,USGS,
28,4901705404,G.L. Reasor,Govt. 1,43.724795,-108.754923,43N,99W,5,se ne,Sixth Principal,"5,989",KB,BHB-2017-75,"1,330","1,360",Niobrara,28.57,,27,425,0.13,0.37,0.5,0.9,0.26,0,0.68,4.11,54,132,19,CZ00867,E170807-037,USGS,
29,4904305029,Arrowhead Expl.,State 11-16,43.701934,-107.671925,43N,90W,16,nw nw,Sixth Principal,"4,880",KB,BHB-2017-76,"2,090","2,170",chalk kick/Sage,14.41,,14,425,0.34,4.53,4.87,0.78,0.07,6,1.97,3.7,230,40,17,CZ04546,E170807-038,USGS,
29,4904305029,Arrowhead Expl.,State 11-16,43.701934,-107.671925,43N,90W,16,nw nw,Sixth Principal,"4,880",KB,BHB-2017-77,"2,170","2,200",Sage Breaks,36.82,,37,419,0.64,15.65,16.29,1.23,0.04,13,3.8,8.22,412,32,17,CZ04546,E170807-039,USGS,
30,4902920741,R.K. O'Connell,Oregon-Federal 1,44.42991,-108.88361,52N,100W,33,sw se,Sixth Principal,"5,720",KB,BHB-2017-78,810,870,chalk kick,12.66,,12,427,0.15,2.14,2.29,0.72,0.07,3,1.63,3.15,131,44,9,CZ13013,E170807-040,USGS,
30,4902920741,R.K. O'Connell,Oregon-Federal 1,44.42991,-108.88361,52N,100W,33,sw se,Sixth Principal,"5,720",KB,BHB-2017-79,870,900,Sage Breaks,13.16,,12,429,0.14,0.58,0.72,0.81,0.19,1,1.37,2.95,42,59,10,CZ13013,E170807-041,USGS,
31,4902905736,Continental Oil Co.,Oregon Coulee 34-1,44.42992,-108.87345,52N,100W,34,sw sw,Sixth Principal,"5,248",KB,BHB-2017-80,"1,620","1,650",chalk kick,13.58,,13,421,0.34,5.46,5.8,0.89,0.06,6,2.04,3.67,268,44,17,CZ03234,E170807-042,USGS,
32,4901705991,Signal O & G,LA Sheep 35-1,43.916681,-108.577367,46N,98W,35,nw ne,Sixth Principal,"5,347",KB,BHB-2011-1,980,"1,040",Niobrara,,17.77,,428,0.3,1.26,1.56,0.2,0.19,6,1.09,nd,116,18,28,CZ03830,E160804-004,GeoMark,
32,4901705991,Signal O & G,LA Sheep 35-1,43.916681,-108.577367,46N,98W,35,nw ne,Sixth Principal,"5,347",KB,BHB-2011-2,"1,600","1,660",Niobrara,,14.29,,UD,0.14,0.18,0.32,0.22,0.44,1,0.67,nd,27,33,21,CZ03830,E160804-005,GeoMark,unreliable data
33,4901760001,Pan American Pet.,USA C-1,44.04043,-108.7718,47N,99W,17,nw sw,Sixth Principal,"5,927",KB,BHB-2011-5,"1,360","1,400",Niobrara,,13.25,,431,0.28,0.88,1.16,0.3,0.24,3,0.83,nd,106,36,34,CZ05286,E160804-008,GeoMark,
34,4902905339,Occidental Pet.,1 Govt.-Social,44.3081,-108.86797,50N,100W,15,se nw,Sixth Principal,"5,458",KB,BHB-2011-8,"1,000","1,100",sandy (?),,18.89,,426,0.17,0.27,0.44,0.39,0.39,1,0.95,nd,28,41,18,CZ04436,E160804-015,GeoMark,
35,4904305273,Pan American Pet.,Unit 6,44.050879,-107.69311,47N,90W,18,nw ne,Sixth Principal,"4,562",KB,BHB-2011-12,"1,560","1,600",Niobrara,,10.11,,431,0.16,0.68,0.84,0.4,0.19,2,1,nd,68,40,16,CZ00341,E160804-006,GeoMark,
35,4904305273,Pan American Pet.,Unit 6,44.050879,-107.69311,47N,90W,18,nw ne,Sixth Principal,"4,562",KB,BHB-2011-13,"1,920","1,980",Niobrara,,19.74,,430,0.45,0.96,1.41,0.71,0.32,1,1.09,nd,88,65,41,CZ00341,E160804-007,GeoMark,
36,4904305495,Ajax Oil & Dev.,Govt.-Lockhart 1,44.144868,-107.768674,48N,91W,9,ne se,Sixth Principal,"4,569",KB,BHB-2011-16,"1,610","1,710",Niobrara,,11.47,,431,0.22,1.06,1.28,0.55,0.17,2,1.28,nd,83,43,17,CZ00560,E160804-009,GeoMark,
36,4904305495,Ajax Oil & Dev.,Govt.-Lockhart 1,44.144868,-107.768674,48N,91W,9,ne se,Sixth Principal,"4,569",KB,BHB-2011-17,"1,910","2,080",Niobrara,,21.99,,432,0.21,0.8,1.01,0.54,0.21,1,0.95,nd,84,57,22,CZ00560,E160804-010,GeoMark,
37,4900320406,Grayrock Corp.,1-14 Chambers-Fed.,44.30772,-107.87531,50N,92W,14,sw ne,Sixth Principal,"4,148",KB,BHB-2011-21,500,600,Niobrara,,10.19,,428,0.52,2.2,2.72,0.55,0.19,4,1.86,nd,118,30,28,CZ12187,E160804-013,GeoMark,
37,4900320406,Grayrock Corp.,1-14 Chambers-Fed.,44.30772,-107.87531,50N,92W,14,sw ne,Sixth Principal,"4,148",KB,BHB-2011-22,710,830,Niobrara,,6.22,,424,0.65,4.36,5.01,0.45,0.13,10,2.06,nd,212,22,32,CZ12187,E160804-014,GeoMark,
38,4900305279,MKM Expl.,Unit 2,44.34037,-107.96043,50N,92W,6,ne nw,Sixth Principal,"4,030",KB,BHB-2011-25,"1,070","1,170",Niobrara,,6.33,,427,0.43,2.55,2.98,0.39,0.14,7,1.78,nd,143,22,24,CZ04298,E160804-012,GeoMark,
39,4904305048,Texas Pacific,USA 1-B,43.734678,-107.38288,44N,88W,35,ne sw,Sixth Principal,"4,924",KB,BHB-2011-29,760,920,Niobrara,,nd,5.7,428,0.26,2.04,2.3,0.68,0.11,3,1.41,nd,145,48,18,CZ00650,E160804-001,GeoMark,
40,4901705875,Western Empire,1 Govt.,43.78989,-108.335651,44N,96W,11,se nw,Sixth Principal,"4,737",DF,BHB-2011-32,650,770,Niobrara,,15.34,,UD,0.08,0.1,0.18,0.46,0.44,0,0.69,nd,14,67,12,CZ07855,E160804-002,GeoMark,unreliable data
40,4901705875,Western Empire,1 Govt.,43.78989,-108.335651,44N,96W,11,se nw,Sixth Principal,"4,737",KB,BHB-2011-33,"1,300","1,400",Niobrara,,8.5,,435,0.24,0.3,0.54,0.53,0.44,1,1.15,nd,26,46,21,CZ07855,E160804-003,GeoMark,
41,4902906833,Aztec O & G,Federal LK 1,44.46611,-108.90401,52N,100W,20,sw ne,Sixth Principal,"5,174",KB,BHB-2011-35,560,690,Niobrara,,9.66,,432,0.15,0.54,0.69,0.1,0.22,5,0.61,nd,89,16,25,CZ05415,E160804-017,GeoMark,
42,4902905903,Krueger Oil,Unit 73-27,44.80598,-108.63611,56N,98W,27,se ne,Sixth Principal,"4,275",KB,BHB-2011-41,"2,210","2,280",Niobrara,,11.97,,427,0.27,1.3,1.57,0.28,0.17,5,1.17,nd,111,24,,CZ00010,E160804-020,GeoMark,
42,4902905903,Krueger Oil,Unit 73-27,44.80598,-108.63611,56N,98W,27,se ne,Sixth Principal,"4,275",KB,BHB-2011-42,"2,700","2,750",Niobrara,,7.87,,431,0.23,1.17,1.4,0.3,0.16,4,1.15,nd,102,26,20,CZ00010,E160804-021,GeoMark,
43,4900320606,Huckabay Ltd,Jolly Unit 42-19,44.73199,-108.33221,55N,95W,19,se ne,Sixth Principal,"4,413",KB,BHB-2011-45,"2,500","2,580",Niobrara,,nd,4.5,430,0.21,1.74,1.95,0.2,0.11,9,1.21,nd,144,17,17,CZ11050,E160804-019,GeoMark,
44,4902905268,Ashmun & Hilliard,3 Ltd. ,44.14831,-108.983,48N,101W,9,nw ne,Sixth Principal,"6,255",KB,BHB-2011-48,"1,410","1,550",Niobrara,,5.33,,431,0.25,0.74,0.99,0.28,0.25,3,0.93,nd,80,30,27,CZ02157,E160804-011,GeoMark,
45,4902920713,Husky Oil,1-1 Pat O'Hara,44.69319,-109.20129,54N,103W,1,ne ne,Sixth Principal,"5,371",KB,BHB-2011-51,"1,010","1,200",Niobrara,,15.57,,430,0.27,1.17,1.44,0.38,0.19,3,1.08,nd,108,35,25,CZ13087,E160804-018,GeoMark,
46,4900320497,Viking Expl.,1 Henderson,44.3948,-108.04233,51N,93W,16,se nw,Sixth Principal,"3,852",KB,BHB-2011-54,"1,610","1,690",Niobrara,,5.65,,428,0.27,1.18,1.45,0.4,0.19,3,1.51,nd,78,26,18,CZ13810,E160804-016,GeoMark,
