map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev (feet),Ref,sample #,top (feet),bottom (feet),Formation,% CaCO3      (TC-TOC)*8.33,Tmax °C,S1       mgHC/g-rock,S2       mgHC/g-rock,GP  S1+S2,S3       mgCO2/g-rock,PI  S1/(S1+S2),S2/S3,LECO TOC Wt. %,TC Wt. %,HI    (S2/TOC)*100,OI     (S3/TOC)*100,(S1/TOC)*100,CRC ,LIMS ID,,,,,,
20,4903720341,Champlin Petroleum,Brady Unit 1-21-11,41.386932,-108.75011,16N,101W,11,NE NW,Sixth Principal,"7,135",KB,GRB-2021-86,"2,530","2,540",Lewis,8.66,430,0.14,2.39,2.53,0.60,0.06,4,1.89,2.93,126,32,7,CZ09884,E210901-026,,,,,,
21,4903705274,Chandler & Simpson,Govt-Robinson 1,41.37251,-108.817373,16N,101W,18,NE NE,Sixth Principal,"7,156",KB,GRB-2021-87,"1,760","1,780",Asquith(?),9.83,430,0.11,3.53,3.64,0.69,0.03,5,1.99,3.17,177,35,6,CZ03503,E210901-027,,,,,,
21,4903705274,Chandler & Simpson,Govt-Robinson 1,41.37251,-108.817373,16N,101W,18,NE NE,Sixth Principal,"7,156",KB,GRB-2021-88,"1,780","1,800",Asquith(?),6.50,429,0.13,2.78,2.91,0.78,0.04,4,1.9,2.68,146,41,7,CZ03503,E210901-028,,,,,,
22,0510705123,Sunray Oil Co.,Windner Land 1,40.555139,-107.274541,7N,88W,21,NW NW,Sixth Principal,"6,844",KB,GRB-2021-89,"2,850","2,860",Lewis,11.83,435,0.05,0.93,0.98,0.37,0.05,3,1.06,2.48,88,35,5,DC01301,E210901-029,,,,,,
22,0510705123,Sunray Oil Co.,Windner Land 1,40.555139,-107.274541,7N,88W,21,NW NW,Sixth Principal,"6,844",KB,GRB-2021-90,"2,860","2,880",Asquith,6.75,434,0.08,1.02,1.10,0.42,0.07,2,1.13,1.94,90,37,7,DC01301,E210901-030,,,,,,
22,0510705123,Sunray Oil Co.,Windner Land 1,40.555139,-107.274541,7N,88W,21,NW NW,Sixth Principal,"6,844",KB,GRB-2021-91,"2,830","2,850",Lewis,7.25,434,0.08,1.11,1.19,0.37,0.07,3,1.14,2.01,97,32,7,DC01301,E210901-031,,,,,,
22,0510705123,Sunray Oil Co.,Windner Land 1,40.555139,-107.274541,7N,88W,21,NW NW,Sixth Principal,"6,844",KB,GRB-2021-92,"2,580","2,610",Lewis,8.41,434,0.06,0.95,1.01,0.70,0.06,1,1.4,2.41,68,50,4,DC01301,E210901-032,,,,,,
23,0510706079,Dome Petroleum,Cottonwood Creek 1,40.624669,-107.159978,8N,87W,28,SW NW,Sixth Principal,"7,493",KB,GRB-2021-93,"1,170","1,200",Asquith/Lewis,15.16,429,0.12,1.43,1.55,0.63,0.08,2,1.44,3.26,99,44,8,DZ18916,E210901-033,,,,,,
24,0510705107,Pan American,"1 State ""O""",40.49646,-107.388661,6N,89W,9,NW,Sixth Principal,"6,372",DF,GRB-2021-94,"1,560","1,580",Asquith(?),9.08,427,0.13,2.29,2.42,0.85,0.05,3,1.84,2.93,124,46,7,DZ11984,E210901-034,,,,,,
24,0510705107,Pan American,"1 State ""O""",40.49646,-107.388661,6N,89W,9,NW,Sixth Principal,"6,372",DF,GRB-2021-95,"1,950","1,970",Lewis,9.00,432,0.07,0.81,0.88,0.48,0.08,2,1.08,2.16,75,44,6,DZ11984,E210901-035,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
