S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.000,1.000,1.000,1.000,0.988,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.982,1.000,1.000
1.000,1.000,1.000,1.000,0.971,1.000,1.000,1.000,0.992,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.964,1.000,1.000
1.000,1.000,0.990,1.000,0.954,1.000,1.000,1.000,0.983,1.000,1.000,1.000,0.992,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.945,1.000,1.000
1.000,1.000,0.980,1.000,0.936,1.000,1.000,1.000,0.973,1.000,1.000,1.000,0.984,0.993,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,1.000,1.000
1.000,1.000,0.969,1.000,0.917,1.000,1.000,1.000,0.963,1.000,1.000,1.000,0.974,0.985,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.907,1.000,1.000
1.000,1.000,0.958,1.000,0.897,1.000,1.000,1.000,0.951,1.000,1.000,1.000,0.963,0.974,0.991,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.886,1.000,1.000
1.000,1.000,0.946,1.000,0.877,1.000,1.000,1.000,0.937,1.000,1.000,1.000,0.952,0.963,0.980,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.865,1.000,1.000
1.000,1.000,0.931,1.000,0.856,1.000,1.000,1.000,0.920,1.000,1.000,1.000,0.938,0.951,0.966,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.844,1.000,1.000
1.000,1.000,0.911,0.993,0.836,1.000,1.000,1.000,0.900,1.000,1.000,1.000,0.923,0.939,0.951,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.822,1.000,1.000
1.000,1.000,0.886,0.985,0.817,1.000,1.000,1.000,0.875,0.987,1.000,1.000,0.906,0.928,0.932,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.800,1.000,1.000
1.000,1.000,0.860,0.977,0.798,1.000,1.000,1.000,0.849,0.974,1.000,1.000,0.886,0.918,0.910,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.777,1.000,1.000
0.993,1.000,0.835,0.968,0.780,1.000,1.000,1.000,0.824,0.960,1.000,1.000,0.866,0.909,0.887,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.754,1.000,1.000
0.986,1.000,0.815,0.959,0.762,1.000,1.000,1.000,0.798,0.944,1.000,1.000,0.846,0.900,0.865,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.731,1.000,1.000
0.978,1.000,0.796,0.949,0.744,1.000,1.000,1.000,0.776,0.928,1.000,1.000,0.827,0.891,0.845,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.993,1.000,1.000,1.000,1.000,1.000,0.707,1.000,1.000
0.970,1.000,0.780,0.939,0.727,1.000,1.000,1.000,0.756,0.911,1.000,1.000,0.808,0.882,0.827,1.000,1.000,0.989,1.000,1.000,1.000,1.000,0.985,1.000,1.000,1.000,1.000,1.000,0.681,1.000,1.000
0.960,0.991,0.765,0.929,0.710,1.000,1.000,1.000,0.738,0.895,1.000,1.000,0.790,0.873,0.812,1.000,1.000,0.978,1.000,0.989,0.985,1.000,0.976,0.990,1.000,1.000,1.000,1.000,0.654,1.000,1.000
0.950,0.982,0.751,0.918,0.692,1.000,1.000,1.000,0.723,0.878,1.000,1.000,0.772,0.865,0.799,1.000,1.000,0.967,1.000,0.979,0.969,1.000,0.967,0.978,0.994,1.000,1.000,1.000,0.628,1.000,1.000
0.939,0.971,0.739,0.906,0.675,1.000,1.000,0.987,0.710,0.862,1.000,1.000,0.755,0.855,0.787,1.000,1.000,0.956,1.000,0.968,0.954,1.000,0.957,0.965,0.988,1.000,1.000,1.000,0.602,1.000,1.000
0.927,0.960,0.728,0.895,0.657,1.000,0.992,0.974,0.699,0.848,1.000,1.000,0.737,0.845,0.776,1.000,1.000,0.945,0.987,0.956,0.935,0.991,0.945,0.953,0.980,1.000,0.985,1.000,0.575,0.988,1.000
0.913,0.948,0.717,0.884,0.639,1.000,0.983,0.961,0.689,0.834,1.000,1.000,0.718,0.834,0.764,0.983,1.000,0.932,0.971,0.943,0.917,0.981,0.933,0.941,0.972,1.000,0.970,1.000,0.546,0.977,1.000
0.899,0.935,0.705,0.872,0.620,1.000,0.975,0.948,0.682,0.819,1.000,1.000,0.699,0.822,0.753,0.965,1.000,0.918,0.955,0.930,0.898,0.970,0.918,0.928,0.963,1.000,0.953,1.000,0.519,0.965,1.000
0.884,0.921,0.691,0.858,0.600,0.980,0.965,0.934,0.676,0.805,1.000,0.983,0.679,0.810,0.740,0.946,1.000,0.901,0.937,0.915,0.880,0.958,0.902,0.913,0.953,0.979,0.936,1.000,0.491,0.954,0.981
0.867,0.905,0.675,0.844,0.577,0.957,0.955,0.920,0.665,0.790,1.000,0.965,0.659,0.796,0.726,0.926,1.000,0.885,0.921,0.901,0.861,0.945,0.885,0.898,0.943,0.959,0.917,1.000,0.466,0.942,0.962
0.849,0.888,0.655,0.830,0.553,0.933,0.942,0.906,0.643,0.773,1.000,0.946,0.637,0.780,0.711,0.904,0.992,0.866,0.902,0.884,0.839,0.930,0.864,0.884,0.930,0.938,0.897,1.000,0.440,0.930,0.939
0.828,0.871,0.631,0.813,0.526,0.905,0.927,0.891,0.615,0.756,0.979,0.925,0.613,0.764,0.694,0.876,0.983,0.844,0.881,0.865,0.818,0.913,0.840,0.864,0.916,0.917,0.876,0.969,0.414,0.915,0.914
0.806,0.851,0.604,0.796,0.498,0.873,0.910,0.875,0.578,0.738,0.959,0.901,0.587,0.746,0.671,0.847,0.970,0.819,0.857,0.841,0.793,0.894,0.814,0.836,0.901,0.886,0.850,0.938,0.390,0.895,0.888
0.781,0.828,0.574,0.776,0.468,0.837,0.886,0.856,0.537,0.719,0.936,0.874,0.559,0.726,0.643,0.812,0.951,0.789,0.831,0.812,0.765,0.872,0.783,0.799,0.885,0.855,0.820,0.903,0.365,0.872,0.860
0.752,0.803,0.540,0.754,0.436,0.792,0.852,0.837,0.490,0.699,0.910,0.839,0.528,0.701,0.605,0.772,0.918,0.753,0.802,0.778,0.731,0.849,0.747,0.755,0.865,0.824,0.788,0.864,0.343,0.849,0.834
0.719,0.772,0.503,0.727,0.404,0.743,0.803,0.815,0.439,0.672,0.883,0.800,0.493,0.672,0.558,0.728,0.867,0.715,0.767,0.740,0.691,0.822,0.707,0.700,0.841,0.803,0.752,0.820,0.320,0.822,0.802
0.677,0.734,0.462,0.695,0.374,0.686,0.733,0.792,0.384,0.640,0.853,0.758,0.456,0.629,0.502,0.677,0.762,0.671,0.725,0.693,0.645,0.793,0.663,0.631,0.804,0.782,0.713,0.772,0.297,0.795,0.767
0.626,0.686,0.417,0.653,0.343,0.627,0.650,0.766,0.331,0.608,0.818,0.715,0.417,0.574,0.445,0.621,0.645,0.622,0.672,0.636,0.595,0.760,0.611,0.544,0.745,0.762,0.673,0.719,0.276,0.764,0.729
0.568,0.629,0.372,0.601,0.315,0.565,0.573,0.737,0.283,0.576,0.781,0.671,0.377,0.514,0.394,0.560,0.526,0.567,0.611,0.573,0.543,0.721,0.552,0.460,0.663,0.741,0.634,0.662,0.255,0.733,0.687
0.506,0.569,0.329,0.538,0.290,0.506,0.511,0.703,0.245,0.545,0.740,0.625,0.336,0.457,0.348,0.492,0.422,0.510,0.548,0.505,0.490,0.675,0.491,0.387,0.572,0.720,0.593,0.605,0.235,0.702,0.649
0.448,0.510,0.291,0.472,0.265,0.451,0.456,0.665,0.212,0.509,0.692,0.580,0.297,0.405,0.306,0.428,0.347,0.449,0.484,0.435,0.438,0.620,0.435,0.326,0.493,0.689,0.549,0.561,0.214,0.667,0.605
0.396,0.454,0.257,0.408,0.242,0.402,0.407,0.623,0.182,0.467,0.645,0.537,0.261,0.360,0.269,0.372,0.289,0.392,0.423,0.372,0.385,0.560,0.385,0.274,0.429,0.648,0.506,0.517,0.194,0.628,0.557
0.350,0.402,0.228,0.348,0.221,0.357,0.362,0.576,0.159,0.423,0.591,0.494,0.228,0.319,0.235,0.320,0.243,0.342,0.368,0.319,0.336,0.497,0.341,0.232,0.375,0.606,0.461,0.477,0.173,0.585,0.506
0.306,0.354,0.201,0.296,0.201,0.317,0.321,0.524,0.138,0.378,0.532,0.450,0.198,0.281,0.205,0.274,0.205,0.299,0.317,0.277,0.293,0.433,0.299,0.200,0.328,0.565,0.414,0.433,0.153,0.535,0.451
0.265,0.308,0.178,0.249,0.182,0.279,0.283,0.469,0.119,0.332,0.470,0.404,0.171,0.245,0.177,0.236,0.171,0.260,0.273,0.241,0.253,0.370,0.260,0.172,0.285,0.523,0.369,0.394,0.133,0.481,0.394
0.227,0.264,0.158,0.207,0.162,0.244,0.248,0.409,0.102,0.286,0.410,0.355,0.146,0.211,0.151,0.202,0.142,0.225,0.233,0.209,0.215,0.310,0.225,0.148,0.243,0.472,0.326,0.332,0.115,0.423,0.337
0.191,0.224,0.139,0.168,0.144,0.211,0.216,0.349,0.085,0.241,0.347,0.304,0.123,0.179,0.128,0.170,0.116,0.192,0.198,0.179,0.181,0.256,0.190,0.125,0.203,0.420,0.285,0.262,0.097,0.361,0.276
0.157,0.185,0.122,0.133,0.126,0.180,0.186,0.288,0.070,0.198,0.283,0.251,0.101,0.149,0.106,0.142,0.092,0.162,0.167,0.152,0.151,0.205,0.159,0.106,0.164,0.358,0.247,0.200,0.080,0.295,0.215
0.125,0.147,0.107,0.101,0.109,0.151,0.158,0.228,0.056,0.157,0.220,0.198,0.081,0.121,0.087,0.116,0.072,0.134,0.135,0.126,0.123,0.158,0.131,0.088,0.127,0.296,0.210,0.130,0.063,0.225,0.158
0.094,0.110,0.094,0.071,0.090,0.125,0.131,0.170,0.043,0.121,0.168,0.148,0.062,0.093,0.068,0.091,0.053,0.110,0.106,0.103,0.098,0.114,0.103,0.073,0.091,0.223,0.176,0.082,0.050,0.152,0.104
