Value,Probability
0.0,0.16576243181332037
0.99609375,0.0
1.9921875,0.0
2.98828125,0.0
3.984375,0.0
4.98046875,0.0
5.9765625,0.0
6.97265625,0.0
7.96875,0.0
8.96484375,0.0
9.9609375,0.0
10.95703125,0.0
11.953125,0.0
12.94921875,0.0
13.9453125,0.0
14.94140625,0.0
15.9375,0.0
16.93359375,0.0
17.9296875,0.0
18.92578125,0.0
19.921875,0.0
20.91796875,0.0
21.9140625,0.0
22.91015625,0.0
23.90625,0.0
24.90234375,0.0
25.8984375,0.0
26.89453125,0.0
27.890625,0.0
28.88671875,0.0
29.8828125,0.0
30.87890625,0.0
31.875,0.0
32.87109375,0.0
33.8671875,0.0
34.86328125,0.0
35.859375,0.0
36.85546875,0.0
37.8515625,0.0
38.84765625,0.0
39.84375,0.0
40.83984375,0.0
41.8359375,0.0
42.83203125,0.0
43.828125,0.0
44.82421875,0.0
45.8203125,0.0
46.81640625,0.0
47.8125,0.0
48.80859375,0.0
49.8046875,0.0
50.80078125,0.0
51.796875,0.0
52.79296875,0.0
53.7890625,0.0
54.78515625,0.0
55.78125,0.0
56.77734375,0.0
57.7734375,0.0
58.76953125,0.0
59.765625,0.0
60.76171875,0.0
61.7578125,0.0
62.75390625,0.0
63.75,0.0
64.74609375,0.0
65.7421875,0.0
66.73828125,0.0
67.734375,0.0
68.73046875,0.0
69.7265625,0.0
70.72265625,0.0
71.71875,0.0
72.71484375,0.0
73.7109375,0.0
74.70703125,0.0
75.703125,0.0
76.69921875,0.0
77.6953125,0.0
78.69140625,0.0
79.6875,0.0
80.68359375,0.0
81.6796875,0.0
82.67578125,0.0
83.671875,0.0
84.66796875,0.0
85.6640625,0.0
86.66015625,0.0
87.65625,0.0
88.65234375,0.0
89.6484375,0.0
90.64453125,0.0
91.640625,0.0
92.63671875,0.0
93.6328125,0.0
94.62890625,0.0
95.625,0.0
96.62109375,0.0
97.6171875,0.0
98.61328125,0.0
99.609375,0.0
100.60546875,0.0
101.6015625,0.0
102.59765625,0.0
103.59375,0.0
104.58984375,0.0
105.5859375,0.0
106.58203125,0.0
107.578125,0.0
108.57421875,0.0
109.5703125,0.0
110.56640625,0.0
111.5625,0.0
112.55859375,0.0
113.5546875,0.0
114.55078125,0.0
115.546875,0.0
116.54296875,0.0
117.5390625,0.0
118.53515625,0.0
119.53125,0.0
120.52734375,0.0
121.5234375,0.0
122.51953125,0.0
123.515625,0.0
124.51171875,0.0
125.5078125,0.0
126.50390625,0.0
127.5,0.0
128.49609375,0.0
129.4921875,0.0
130.48828125,0.0
131.484375,0.0
132.48046875,0.0
133.4765625,0.0
134.47265625,0.0
135.46875,0.0
136.46484375,0.0
137.4609375,0.0
138.45703125,0.0
139.453125,0.0
140.44921875,0.0
141.4453125,0.0
142.44140625,0.0
143.4375,0.0
144.43359375,0.0
145.4296875,0.0
146.42578125,0.0
147.421875,0.0
148.41796875,0.0
149.4140625,0.0
150.41015625,0.0
151.40625,0.0
152.40234375,0.0
153.3984375,0.0
154.39453125,0.0
155.390625,0.0
156.38671875,0.0
157.3828125,0.0
158.37890625,0.0
159.375,0.0
160.37109375,0.0
161.3671875,0.0
162.36328125,0.0
163.359375,0.0
164.35546875,0.0
165.3515625,0.0
166.34765625,0.0
167.34375,0.0
168.33984375,0.0
169.3359375,0.0
170.33203125,0.0
171.328125,0.0
172.32421875,0.0
173.3203125,0.0
174.31640625,0.0
175.3125,0.0
176.30859375,0.0
177.3046875,0.0
178.30078125,0.0
179.296875,0.0
180.29296875,0.0
181.2890625,0.0
182.28515625,0.0
183.28125,0.0
184.27734375,0.0
185.2734375,0.0
186.26953125,0.0
187.265625,0.0
188.26171875,0.0
189.2578125,0.0
190.25390625,0.0
191.25,0.0
192.24609375,0.0
193.2421875,0.0
194.23828125,0.0
195.234375,0.0
196.23046875,0.0
197.2265625,0.0
198.22265625,0.0
199.21875,0.0
200.21484375,0.0
201.2109375,0.0
202.20703125,0.0
203.203125,0.0
204.19921875,0.0
205.1953125,0.0
206.19140625,0.0
207.1875,0.0
208.18359375,0.0
209.1796875,0.0
210.17578125,0.0
211.171875,0.0
212.16796875,0.0
213.1640625,0.0
214.16015625,0.0
215.15625,0.0
216.15234375,0.0
217.1484375,0.0
218.14453125,0.0
219.140625,0.0
220.13671875,0.0
221.1328125,0.0
222.12890625,0.0
223.125,0.0
224.12109375,0.0
225.1171875,0.0
226.11328125,0.0
227.109375,0.0
228.10546875,0.0
229.1015625,0.0
230.09765625,0.0
231.09375,0.0
232.08984375,0.0
233.0859375,0.0
234.08203125,0.0
235.078125,0.0
236.07421875,0.0
237.0703125,0.0
238.06640625,0.0
239.0625,0.0
240.05859375,0.0
241.0546875,0.0
242.05078125,0.0
243.046875,0.0
244.04296875,0.0
245.0390625,0.0
246.03515625,0.0
247.03125,0.0
248.02734375,0.0
249.0234375,0.0
250.01953125,0.0
251.015625,0.0
252.01171875,0.0
253.0078125,0.0
254.00390625,0.8381591368141307
