Sample,As_ppm,Ds_ppm,Ts_ppm,Total_ppm,MD4_3_ppm,MAI,EAI,DMAI1,DMAI2,TMAI1,TMAI2,MDI,DMDI1,DMDI2,MTI,MAs_MDs,Rc_pct,EASY_Ro,Facies,region,endmember,system
DN202,5448.0,241,7.2,5696.0,128.5,0.54,0.3,0.68,0.37,0.38,0.35,0.3,0.23,0.58,0.31,9.4,1.16,1.3,III,Dina,coaly-III,Kuqa(high-maturity light oil)
DN204,4875.0,200,5.8,5081.0,105.4,0.54,0.31,0.69,0.38,0.38,0.35,0.3,0.24,0.6,0.33,10.5,1.18,1.27,III,Dina,coaly-III,Kuqa(high-maturity light oil)
DN22,3661.0,153,4.6,3819.0,81.5,0.45,0.29,0.5,0.31,0.25,0.29,0.3,0.21,0.57,0.33,7.6,1.18,0.87,III,Dina,coaly-III,Kuqa(high-maturity light oil)
DX1,2168.0,107,3.7,2279.0,53.7,0.53,0.31,0.55,0.35,0.29,0.37,0.33,0.26,0.55,0.35,8.0,1.25,1.25,III,Dibei,mixed,Kuqa(high-maturity light oil)
Y603,3677.0,212,13.1,3903.0,104.3,0.57,0.31,0.68,0.45,0.36,0.44,0.41,0.39,0.63,0.46,5.9,1.43,1.58,III,Dibei,mixed,Kuqa(high-maturity light oil)
YN2-1,545.0,26,0.5,572.0,12.3,0.39,0.19,0.43,0.25,0.21,0.27,0.25,0.28,0.56,,6.5,1.05,0.81,II,Dibei,mixed,Kuqa(high-maturity light oil)
YN2-2,1630.0,97,3.5,1731.0,50.6,0.52,0.28,0.54,0.34,0.28,0.36,0.33,0.25,0.53,0.34,6.2,1.24,1.34,III,Dibei,mixed,Kuqa(high-maturity light oil)
YN5,462.0,25,0.5,487.0,11.0,0.43,0.21,0.46,0.27,0.22,0.29,0.17,0.27,0.45,,6.2,0.86,0.94,II,Dibei,mixed,Kuqa(high-maturity light oil)
TZ1,9365.0,463,23.1,9852.0,239.2,0.56,0.45,0.58,0.38,0.27,0.32,0.32,0.25,0.56,0.31,6.5,1.22,1.25,III,Tuzi,coaly-III,Kuqa(high-maturity light oil)
TZ3,,333,5.0,,169.7,0.59,0.45,0.58,0.37,0.32,0.36,0.39,0.3,0.58,0.4,14.5,1.39,1.25,III,Tuzi,coaly-III,Kuqa(high-maturity light oil)
TD2,981.0,49,1.9,1032.0,25.7,0.47,0.26,0.51,0.31,0.23,0.31,0.29,0.26,0.56,0.37,6.6,1.14,1.06,III,Tudong,mixed,Kuqa(high-maturity light oil)
TD201,707.0,50,2.5,760.0,25.1,0.48,0.27,0.52,0.33,0.24,0.32,0.3,0.28,0.58,0.39,4.8,1.18,1.36,II,Tudong,mixed,Kuqa(high-maturity light oil)
QL1,732.0,53,4.2,789.0,28.8,0.48,0.27,0.53,0.33,0.24,0.34,0.31,0.24,0.56,0.38,4.9,1.19,1.4,II,Yangtake,lacustrine-II,Kuqa(high-maturity light oil)
YT1T,3049.0,177,9.4,3235.0,93.0,0.53,0.33,0.54,0.33,0.27,0.35,0.33,0.24,0.55,0.38,5.8,1.25,1.29,II,Yangtake,lacustrine-II,Kuqa(high-maturity light oil)
YT2,3549.0,204,10.9,3764.0,105.5,0.53,0.34,0.52,0.32,0.28,0.35,0.34,0.24,0.56,0.39,5.7,1.26,1.26,II,Yangtake,lacustrine-II,Kuqa(high-maturity light oil)
YT101,2461.0,142,8.4,2612.0,75.2,0.53,0.32,0.54,0.33,0.27,0.36,0.33,0.23,0.54,0.39,5.9,1.24,1.29,II,Yangtake,lacustrine-II,Kuqa(high-maturity light oil)
