map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
11,4901305760,Superior Oil Co.,Davis-Govt. 81-4,42.86772,-107.620134,33N,90W,4,ne ne,Sixth Principal,"6,198",KB,WRB-2018-22,"2,920","2,950",Mowry,1.00,427,1.6,3.11,4.71,0.62,0.34,5,2.23,2.35,140,28,72,E181009-022
11,4901305760,Superior Oil Co.,Davis-Govt. 81-4,42.86772,-107.620134,33N,90W,4,ne ne,Sixth Principal,"6,198",KB,WRB-2018-23,"3,020","3,050",Mowry,5.33,422,2.15,9.25,11.40,0.82,0.19,11,3.19,3.83,290,26,67,E181009-023
11,4901305760,Superior Oil Co.,Davis-Govt. 81-4,42.86772,-107.620134,33N,90W,4,ne ne,Sixth Principal,"6,198",KB,WRB-2018-24,"3,090","3,110",Mowry,7.08,421,1.5,8.29,9.79,0.79,0.15,10,2.75,3.60,301,29,54,E181009-024
11,4901305760,Superior Oil Co.,Davis-Govt. 81-4,42.86772,-107.620134,33N,90W,4,ne ne,Sixth Principal,"6,198",KB,WRB-2018-25,"3,230","3,250",Shell Creek,3.33,426,0.38,3.98,4.36,0.59,0.09,7,1.91,2.31,208,31,20,E181009-025
12,4902520522,Signal Oil and Gas,71 Federal 3F-1A,42.688446,-107.006967,31N,85W,3,se nw,Sixth Principal,"6,603",KB,WRB-2018-26,"3,300","3,310",Mowry,3.67,424,0.37,5.41,5.78,1.32,0.06,4,2.79,3.23,194,47,13,E181009-026
13,4902505252,Skelly Oil Co.,1 Tresner,42.55007,-106.583711,30N,81W,19,ne se,Sixth Principal,"5,640",KB,WRB-2018-27,"1,020","1,030",Mowry,0.00,431,0.58,10.47,11.05,0.51,0.05,21,3.04,3.01,345,17,19,E181009-027
13,4902505252,Skelly Oil Co.,1 Tresner,42.55007,-106.583711,30N,81W,19,ne se,Sixth Principal,"5,640",KB,WRB-2018-28,"1,160","1,170",Mowry,2.75,428,0.76,7.62,8.38,0.56,0.09,14,2.66,2.99,286,21,29,E181009-028
14,4901320417,Oil Development of Texas,USA-Cabot 1,42.772974,-107.702462,32N,91W,3,ne se,Sixth Principal,"6,341",KB,WRB-2018-29,"1,060","1,070",Mowry,1.17,426,0.37,4.60,4.97,0.78,0.07,6,2.10,2.24,219,37,18,E181009-029
14,4901320417,Oil Development of Texas,USA-Cabot 1,42.772974,-107.702462,32N,91W,3,ne se,Sixth Principal,"6,341",KB,WRB-2018-30,"1,130","1,140",Mowry,1.67,427,0.37,2.12,2.49,0.94,0.15,2,2.34,2.54,91,40,16,E181009-030
14,4901320417,Oil Development of Texas,USA-Cabot 1,42.772974,-107.702462,32N,91W,3,ne se,Sixth Principal,"6,341",KB,WRB-2018-31,"1,180","1,190",Mowry,2.58,424,0.37,3.59,3.96,0.92,0.09,4,2.64,2.95,136,35,14,E181009-031
