map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
33,4902521006,General American Oil,1-9 Federal,42.753364,-106.557968,32N,81W,9,nw sw,Sixth Principal,"5,503",KB,WRB-2018-91,820,840,Mowry,2.83,423,0.52,10.20,10.72,0.50,0.05,20,2.86,3.20,356,17,18,E181013-007
33,4902521006,General American Oil,1-9 Federal,42.753364,-106.557968,32N,81W,9,nw sw,Sixth Principal,"5,503",KB,WRB-2018-92,970,980,Mowry,4.08,425,0.4,6.63,7.03,0.52,0.06,13,2.61,3.10,254,20,15,E181013-008
33,4902521006,General American Oil,1-9 Federal,42.753364,-106.557968,32N,81W,9,nw sw,Sixth Principal,"5,503",KB,WRB-2018-93,"1,000","1,010",Shell Creek,1.00,432,0.12,0.45,0.57,0.41,0.21,1,0.76,0.88,59,54,16,E181013-009
34,4902520909,Benson-Montin-Greer Drlg.,M-21-A,42.983926,-106.924043,35N,84W,21,sw sw,Sixth Principal,"5,906",KB,WRB-2018-94,990,"1,020",Mowry,2.33,431,0.2,2.43,2.63,0.50,0.08,5,1.52,1.80,159,33,13,E181013-010
34,4902520909,Benson-Montin-Greer Drlg.,M-21-A,42.983926,-106.924043,35N,84W,21,sw sw,Sixth Principal,"5,906",KB,WRB-2018-95,"1,100","1,110",Mowry,3.75,424,0.44,8.74,9.18,0.80,0.05,11,2.91,3.36,301,28,15,E181013-011
34,4902520909,Benson-Montin-Greer Drlg.,M-21-A,42.983926,-106.924043,35N,84W,21,sw sw,Sixth Principal,"5,906",KB,WRB-2018-96,"1,190","1,210",Mowry,1.75,421,0.17,3.63,3.8,0.74,0.04,5,2.68,2.89,136,28,6,E181013-012
34,4902520909,Benson-Montin-Greer Drlg.,M-21-A,42.983926,-106.924043,35N,84W,21,sw sw,Sixth Principal,"5,906",KB,WRB-2018-97,"1,230","1,240",Shell Creek,4.41,428,0.14,0.78,0.92,0.67,0.15,1,1.32,1.85,59,51,11,E181013-013
35,4901320703,Impel Energy,4-24 Tribal,43.39972,-108.83194,5N,1W,24,nw nw,Wind River,"5,978",KB,WRB-2018-98,"1,150","1,160",Mowry,3.17,435,0.2,1.86,2.06,0.41,0.1,5,1.38,1.76,135,30,15,E181013-014
35,4901320703,Impel Energy,4-24 Tribal,43.39972,-108.83194,5N,1W,24,nw nw,Wind River,"5,978",KB,WRB-2018-99,"1,260","1,270",Mowry,3.83,430,0.24,2.76,3,0.60,0.08,5,1.65,2.11,167,36,15,E181013-015
36,4901306643,Trigood Oil Co.,1 Rolff Lake,43.48111,-109.12351,6N,3W,21,ne sw,Wind River,"6,563",KB,WRB-2018-100,"1,550","1,560",Mowry,5.41,431,0.2,2.41,2.61,0.54,0.08,4,1.49,2.14,162,36,13,E181013-016
36,4901306643,Trigood Oil Co.,1 Rolff Lake,43.48111,-109.12351,6N,3W,21,ne sw,Wind River,"6,563",KB,WRB-2018-101,"1,790","1,800",Shell Creek,2.25,436,0.18,0.48,0.66,0.54,0.27,1,1.02,1.29,47,53,18,E181013-017
37,4901305556,True Oil Co.,De Lange 1-A,42.794631,-107.640407,33N,90W,32,ne ne,Sixth Principal,"6,588",KB,WRB-2018-102,"1,850","1,880",Mowry,3.75,426,0.5,6.20,6.7,0.69,0.07,9,2.50,2.95,248,28,20,E181013-018
38,4901306579,Skelly Oil Co.,Tribal 1,43.44771,-109.06989,6N,3W,36,sw sw,Wind River,"6,427",KB,WRB-2018-103,"1,480","1,500",Mowry,4.91,428,0.59,6.52,6.84,0.56,0.08,11,2.19,2.78,298,26,27,E181013-019
38,4901306579,Skelly Oil Co.,Tribal 1,43.44771,-109.06989,6N,3W,36,sw sw,Wind River,"6,427",KB,WRB-2018-104,"1,540","1,550",Mowry,6.16,430,0.44,4.22,4.66,0.70,0.09,6,2.05,2.79,206,34,21,E181013-020
38,4901306579,Skelly Oil Co.,Tribal 1,43.44771,-109.06989,6N,3W,36,sw sw,Wind River,"6,427",KB,WRB-2018-105,"1,645","1,650",Shell Creek,1.25,434,0.16,0.77,0.93,0.47,0.17,2,0.91,1.06,84,51,17,E181013-021
38,4901306579,Skelly Oil Co.,Tribal 1,43.44771,-109.06989,6N,3W,36,sw sw,Wind River,"6,427",KB,WRB-2018-106,"1,830","1,835",Thermopolis,6.16,432,0.13,0.12,0.25,0.61,0.52,0,0.85,1.59,14,72,15,E181013-022
39,4901305519,Richfield Oil Co.,Monterey B-1,42.765647,-107.663332,32N,91W,12,ne ne,Sixth Principal,"6,635",KB,WRB-2018-107,420,430,Mowry,4.50,421,0.38,8.40,8.78,0.83,0.04,10,2.72,3.26,308,30,14,E181013-023
39,4901305519,Richfield Oil Co.,Monterey B-1,42.765647,-107.663332,32N,91W,12,ne ne,Sixth Principal,"6,635",KB,WRB-2018-108,470,490,Mowry,1.08,427,0.26,5.87,6.13,0.71,0.04,8,2.65,2.78,221,27,10,E181013-024
39,4901305519,Richfield Oil Co.,Monterey B-1,42.765647,-107.663332,32N,91W,12,ne ne,Sixth Principal,"6,635",KB,WRB-2018-109,540,570,Mowry,2.42,423,0.2,2.86,3.06,0.80,0.07,4,2.34,2.63,122,34,9,E181013-025
39,4901305519,Richfield Oil Co.,Monterey B-1,42.765647,-107.663332,32N,91W,12,ne ne,Sixth Principal,"6,635",KB,WRB-2018-110,610,630,Shell Creek,1.25,435,0.19,1.04,1.23,0.50,0.15,2,1.12,1.27,93,45,17,E181013-026
40,4901306740,British American Oil Co.,Arapahoe 1,43.51931,-108.88056,6N,1W,4,sw se,Wind River,"6,392",KB,WRB-2018-111,"1,130","1,140",Mowry,3.25,432,0.36,0.54,0.9,0.74,0.4,1,1.50,1.89,36,49,24,E181013-027
40,4901306740,British American Oil Co.,Arapahoe 1,43.51931,-108.88056,6N,1W,4,sw se,Wind River,"6,392",KB,WRB-2018-112,"1,200","1,210",Mowry,4.33,429,0.33,1.51,1.84,0.83,0.18,2,2.09,2.61,72,40,16,E181013-028
40,4901306740,British American Oil Co.,Arapahoe 1,43.51931,-108.88056,6N,1W,4,sw se,Wind River,"6,392",KB,WRB-2018-113,"1,220","1,230",Mowry,2.75,427,0.33,4.01,4.34,0.70,0.08,6,2.27,2.60,176,31,15,E181013-029
41,4901320303,"Stoltz, Wagner, and Brown",1-35 Tribal,43.28599,-109.2,4N,4W,35,ne nw,Wind River,"6,356",KB,WRB-2018-114,580,590,Mowry,5.00,426,0.44,2.74,3.18,1.07,0.14,3,2.27,2.87,121,47,19,E181013-030
41,4901320303,"Stoltz, Wagner, and Brown",1-35 Tribal,43.28599,-109.2,4N,4W,35,ne nw,Wind River,"6,356",KB,WRB-2018-115,620,630,Mowry,5.75,425,0.47,1.55,2.02,1.02,0.23,2,2.27,2.96,68,45,21,E181013-031
41,4901320303,"Stoltz, Wagner, and Brown",1-35 Tribal,43.28599,-109.2,4N,4W,35,ne nw,Wind River,"6,356",KB,WRB-2018-116,820,830,Shell Creek,1.25,432,0.29,1.03,1.32,0.60,0.22,2,1.21,1.36,85,50,24,E181013-032
41,4901320303,"Stoltz, Wagner, and Brown",1-35 Tribal,43.28599,-109.2,4N,4W,35,ne nw,Wind River,"6,356",KB,WRB-2018-117,"1,050","1,060",Thermopolis,1.92,433,0.36,3.81,4.17,0.85,0.09,4,2.02,2.25,189,42,18,E181013-033
41,4901320303,"Stoltz, Wagner, and Brown",1-35 Tribal,43.28599,-109.2,4N,4W,35,ne nw,Wind River,"6,356",KB,WRB-2018-118,"1,140","1,150",Thermopolis,3.67,432,0.22,0.76,0.98,0.78,0.22,1,1.13,1.57,67,69,19,E181013-034
42,4902505897,Eastern Petroleum Co.,1 Govt.-Forest,42.974237,-106.785873,35N,83W,27,sw nw,Sixth Principal,"5,751",KB,WRB-2018-119,"2,240","2,250",Mowry,2.83,432,0.33,3.46,3.79,0.92,0.09,4,1.70,2.04,203,54,19,E181013-035
42,4902505897,Eastern Petroleum Co.,1 Govt.-Forest,42.974237,-106.785873,35N,83W,27,sw nw,Sixth Principal,"5,751",KB,WRB-2018-120,"2,400","2,420",Mowry,23.32,430,0.45,1.55,2,1.09,0.23,1,2.10,4.90,74,52,21,E181013-036
43,4902505380,Forest Oil Co.,Grieve Unit 36-32-1,42.70381,-107.04611,32N,85W,32,se nw,Sixth Principal,"6,959",KB,WRB-2018-121,"2,220","2,240",Mowry,2.00,422,0.48,7.47,7.95,0.75,0.06,10,2.84,3.08,263,26,17,E181013-037
43,4902505380,Forest Oil Co.,Grieve Unit 36-32-1,42.70381,-107.04611,32N,85W,32,se nw,Sixth Principal,"6,959",KB,WRB-2018-122,"2,290","2,300",Shell Creek,1.58,431,0.18,2.72,2.9,0.60,0.06,5,1.83,2.02,149,33,10,E181013-038
44,4902521690,Prenalta Corp.,34-25-31-82 Govt.,42.620064,-106.60642,31N,82,25,sw se,Sixth Principal,"5,322",KB,WRB-2018-123,"2,310","2,320",Mowry,1.83,433,0.23,5.31,5.54,0.29,0.04,18,1.94,2.16,273,15,12,E181013-039
44,4902521690,Prenalta Corp.,34-25-31-82 Govt.,42.620064,-106.60642,31N,82,25,sw se,Sixth Principal,"5,322",KB,WRB-2018-124,"2,340","2,350",Mowry,2.17,430,0.36,8.79,9.15,0.40,0.04,22,2.44,2.70,361,16,15,E181013-040
44,4902521690,Prenalta Corp.,34-25-31-82 Govt.,42.620064,-106.60642,31N,82,25,sw se,Sixth Principal,"5,322",KB,WRB-2018-125,"2,360","2,370",Mowry,5.25,425,0.71,17.84,18.55,0.37,0.04,48,3.39,4.02,527,11,21,E181013-041
44,4902521690,Prenalta Corp.,34-25-31-82 Govt.,42.620064,-106.60642,31N,82,25,sw se,Sixth Principal,"5,322",KB,WRB-2018-126,"2,520","2,540",Shell Creek,2.83,428,0.36,9.22,9.58,0.36,0.04,26,2.65,2.99,348,14,14,E181013-042
44,4902521690,Prenalta Corp.,34-25-31-82 Govt.,42.620064,-106.60642,31N,82,25,sw se,Sixth Principal,"5,322",KB,WRB-2018-127,"2,590","2,630",Thermopolis,4.25,431,0.31,7.74,8.05,0.39,0.04,20,2.25,2.76,344,17,14,E181013-043
45,4901320464,Oil Resources,26-12 Govt.-Curry,42.8025,-107.94991,33N,93W,26,nw sw,Sixth Principal,"5,957",KB,WRB-2018-128,"2,550","2,560",Mowry,3.50,427,0.27,2.92,3.19,0.86,0.08,3,2.21,2.63,132,39,12,E181013-044
45,4901320464,Oil Resources,26-12 Govt.-Curry,42.8025,-107.94991,33N,93W,26,nw sw,Sixth Principal,"5,957",KB,WRB-2018-129,"2,740","2,750",Thermopolis,3.33,428,0.21,2.73,2.94,0.67,0.07,4,1.79,2.19,152,37,12,E181013-045
