Sample_ID,Depth_m,TOC_wt,S1_mgg,S2_mgg,Tmax_C,HI,PI,Well,Formation
WRB-2018-89,288.036,4.27,0.6,17.64,418.0,413.0,0.03,Federal 1-29,Mowry
WRB-2018-90,315.468,2.86,0.42,9.15,422.0,320.0,0.04,Federal 1-29,Mowry
WRB-2018-91,252.984,2.86,0.52,10.2,423.0,356.0,0.05,1-9 Federal,Mowry
WRB-2018-92,297.18,2.61,0.4,6.63,425.0,254.0,0.06,1-9 Federal,Mowry
WRB-2018-94,306.324,1.52,0.2,2.43,431.0,159.0,0.08,M-21-A,Mowry
WRB-2018-95,336.80400000000003,2.91,0.44,8.74,424.0,301.0,0.05,M-21-A,Mowry
WRB-2018-96,365.76,2.68,0.17,3.63,421.0,136.0,0.04,M-21-A,Mowry
WRB-2018-98,352.04400000000004,1.38,0.2,1.86,435.0,135.0,0.1,4-24 Tribal,Mowry
WRB-2018-99,385.572,1.65,0.24,2.76,430.0,167.0,0.08,4-24 Tribal,Mowry
WRB-2018-100,473.964,1.49,0.2,2.41,431.0,162.0,0.08,1 Rolff Lake,Mowry
WRB-2018-102,568.452,2.5,0.5,6.2,426.0,248.0,0.07,De Lange 1-A,Mowry
WRB-2018-103,454.15200000000004,2.19,0.59,6.52,428.0,298.0,0.08,Tribal 1,Mowry
WRB-2018-104,470.916,2.05,0.44,4.22,430.0,206.0,0.09,Tribal 1,Mowry
WRB-2018-107,129.54000000000002,2.72,0.38,8.4,421.0,308.0,0.04,Monterey B-1,Mowry
WRB-2018-108,146.304,2.65,0.26,5.87,427.0,221.0,0.04,Monterey B-1,Mowry
WRB-2018-109,169.16400000000002,2.34,0.2,2.86,423.0,122.0,0.07,Monterey B-1,Mowry
WRB-2018-111,345.94800000000004,1.5,0.36,0.54,432.0,36.0,0.4,Arapahoe 1,Mowry
WRB-2018-112,367.284,2.09,0.33,1.51,429.0,72.0,0.18,Arapahoe 1,Mowry
WRB-2018-113,373.38,2.27,0.33,4.01,427.0,176.0,0.08,Arapahoe 1,Mowry
WRB-2018-114,178.30800000000002,2.27,0.44,2.74,426.0,121.0,0.14,1-35 Tribal,Mowry
WRB-2018-115,190.5,2.27,0.47,1.55,425.0,68.0,0.23,1-35 Tribal,Mowry
WRB-2018-119,684.2760000000001,1.7,0.33,3.46,432.0,203.0,0.09,1 Govt.-Forest,Mowry
WRB-2018-120,734.568,2.1,0.45,1.55,430.0,74.0,0.23,1 Govt.-Forest,Mowry
WRB-2018-121,679.7040000000001,2.84,0.48,7.47,422.0,263.0,0.06,Grieve Unit 36-32-1,Mowry
WRB-2018-123,705.6120000000001,1.94,0.23,5.31,433.0,273.0,0.04,34-25-31-82 Govt.,Mowry
WRB-2018-124,714.7560000000001,2.44,0.36,8.79,430.0,361.0,0.04,34-25-31-82 Govt.,Mowry
WRB-2018-125,720.8520000000001,3.39,0.71,17.84,425.0,527.0,0.04,34-25-31-82 Govt.,Mowry
WRB-2018-128,778.764,2.21,0.27,2.92,427.0,132.0,0.08,26-12 Govt.-Curry,Mowry
