l,llcl_muK2
400,6735.7649
401,6746.5594
402,6756.1131
403,6764.4171
404,6771.4633
405,6777.2448
406,6781.7557
407,6784.9913
408,6786.9477
409,6787.6222
410,6787.0130
411,6785.1197
412,6781.9426
413,6777.4831
414,6771.7438
415,6764.7284
416,6756.4413
417,6746.8882
418,6736.0759
419,6724.0119
420,6710.7051
421,6696.1651
422,6680.4027
423,6663.4295
424,6645.2582
425,6625.9025
426,6605.3770
427,6583.6972
428,6560.8796
429,6536.9415
430,6511.9011
431,6485.7777
432,6458.5912
433,6430.3625
434,6401.1133
435,6370.8659
436,6339.6437
437,6307.4707
438,6274.3717
439,6240.3722
440,6205.4983
441,6169.7770
442,6133.2358
443,6095.9029
444,6057.8070
445,6018.9776
446,5979.4445
447,5939.2383
448,5898.3899
449,5856.9309
450,5814.8931
451,5772.3090
452,5729.2114
453,5685.6335
454,5641.6089
455,5597.1715
456,5552.3556
457,5507.1959
458,5461.7271
459,5415.9846
460,5370.0037
461,5323.8201
462,5277.4700
463,5230.9896
464,5184.4153
465,5137.7840
466,5091.1328
467,5044.4991
468,4997.9207
469,4951.4358
470,4905.0830
471,4858.9013
472,4812.9305
473,4767.2107
474,4721.7830
475,4676.6892
476,4631.9720
477,4587.6752
478,4543.8435
479,4500.5232
480,4457.7619
481,4415.6087
482,4374.1144
483,4333.3316
484,4293.3148
485,4254.1208
486,4215.8083
487,4178.4384
488,4142.0745
489,4106.7825
490,4072.6304
491,4039.6887
492,4008.0301
493,3977.7292
494,3948.8629
495,3921.5092
496,3895.7477
497,3871.6588
498,3849.3230
499,3828.8209
500,3810.2321
501,3793.6345
502,3779.1038
503,3766.7120
504,3756.5273
505,3748.6123
506,3743.0234
507,3739.8095
508,3739.0111
509,3740.6589
510,3744.7728
511,3751.3609
512,3760.4185
513,3771.9268
514,3785.8526
515,3802.1470
516,3820.7453
517,3841.5661
518,3864.5115
519,3889.4669
520,3916.3008
521,3944.8659
522,3974.9992
523,4006.5231
524,4039.2468
525,4072.9670
526,4107.4705
527,4142.5354
528,4177.9332
529,4213.4317
530,4248.7966
531,4283.7948
532,4318.1966
533,4351.7786
534,4384.3265
535,4415.6374
536,4445.5230
537,4473.8115
538,4500.3504
539,4525.0080
540,4547.6756
541,4568.2687
542,4586.7284
543,4603.0222
544,4617.1439
545,4629.1142
546,4638.9800
547,4646.8134
548,4652.7111
549,4656.7921
550,4659.1964
551,4660.0825
552,4659.6251
553,4658.0123
554,4655.4427
555,4652.1230
556,4648.2641
557,4644.0791
558,4639.7796
559,4635.5734
560,4631.6613
561,4628.2354
562,4625.4760
563,4623.5506
564,4622.6113
565,4622.7939
566,4624.2172
567,4626.9815
568,4631.1689
569,4636.8428
570,4644.0481
571,4652.8119
572,4663.1441
573,4675.0381
574,4688.4720
575,4703.4099
576,4719.8031
577,4737.5916
