l,llcl_muK2
1675,779.3670
1676,784.3355
1677,789.2836
1678,794.2059
1679,799.0969
1680,803.9511
1681,808.7633
1682,813.5281
1683,818.2404
1684,822.8950
1685,827.4869
1686,832.0110
1687,836.4625
1688,840.8366
1689,845.1284
1690,849.3334
1691,853.4471
1692,857.4650
1693,861.3827
1694,865.1960
1695,868.9009
1696,872.4932
1697,875.9692
1698,879.3249
1699,882.5568
1700,885.6613
1701,888.6350
1702,891.4747
1703,894.1771
1704,896.7392
1705,899.1582
1706,901.4312
1707,903.5557
1708,905.5292
1709,907.3493
1710,909.0138
1711,910.5207
1712,911.8681
1713,913.0541
1714,914.0771
1715,914.9356
1716,915.6284
1717,916.1542
1718,916.5119
1719,916.7007
1720,916.7197
1721,916.5685
1722,916.2465
1723,915.7533
1724,915.0889
1725,914.2532
1726,913.2463
1727,912.0685
1728,910.7202
1729,909.2019
1730,907.5143
1731,905.6583
1732,903.6347
1733,901.4448
1734,899.0896
1735,896.5707
1736,893.8894
1737,891.0474
1738,888.0466
1739,884.8886
1740,881.5756
1741,878.1097
1742,874.4931
1743,870.7282
1744,866.8174
1745,862.7634
1746,858.5688
1747,854.2364
1748,849.7691
1749,845.1699
1750,840.4420
1751,835.5884
1752,830.6125
1753,825.5177
1754,820.3074
1755,814.9852
1756,809.5546
1757,804.0193
1758,798.3832
1759,792.6500
1760,786.8235
1761,780.9079
1762,774.9070
1763,768.8250
1764,762.6659
1765,756.4338
1766,750.1331
1767,743.7679
1768,737.3426
1769,730.8613
1770,724.3284
1771,717.7484
1772,711.1255
1773,704.4641
1774,697.7687
1775,691.0437
1776,684.2935
1777,677.5224
1778,670.7350
1779,663.9356
1780,657.1287
1781,650.3185
1782,643.5096
1783,636.7062
1784,629.9126
1785,623.1332
1786,616.3723
1787,609.6340
1788,602.9226
1789,596.2422
1790,589.5970
1791,582.9909
1792,576.4281
1793,569.9125
1794,563.4479
1795,557.0383
1796,550.6875
1797,544.3990
1798,538.1767
1799,532.0240
1800,525.9445
1801,519.9417
1802,514.0188
1803,508.1791
1804,502.4259
1805,496.7623
1806,491.1912
1807,485.7155
1808,480.3383
1809,475.0620
1810,469.8896
1811,464.8234
1812,459.8659
1813,455.0195
1814,450.2864
1815,445.6689
1816,441.1689
1817,436.7883
1818,432.5291
1819,428.3930
1820,424.3815
1821,420.4961
1822,416.7384
1823,413.1095
1824,409.6107
1825,406.2430
1826,403.0073
1827,399.9046
1828,396.9356
1829,394.1008
1830,391.4008
1831,388.8360
1832,386.4067
1833,384.1131
1834,381.9552
1835,379.9329
1836,378.0461
1837,376.2947
1838,374.6781
1839,373.1959
1840,371.8475
1841,370.6322
1842,369.5493
1843,368.5978
1844,367.7768
1845,367.0851
1846,366.5215
1847,366.0848
1848,365.7735
1849,365.5862
1850,365.5212
1851,365.5769
1852,365.7517
1853,366.0435
1854,366.4504
1855,366.9705
1856,367.6017
1857,368.3418
1858,369.1885
1859,370.1395
1860,371.1924
1861,372.3448
1862,373.5940
1863,374.9376
1864,376.3728
1865,377.8970
1866,379.5073
1867,381.2009
1868,382.9749
1869,384.8264
1870,386.7525
1871,388.7500
1872,390.8160
1873,392.9472
1874,395.1407
1875,397.3931
1876,399.7014
1877,402.0622
1878,404.4723
1879,406.9285
1880,409.4274
1881,411.9657
1882,414.5402
1883,417.1474
1884,419.7840
1885,422.4468
1886,425.1322
1887,427.8371
1888,430.5580
1889,433.2916
1890,436.0345
1891,438.7835
1892,441.5353
1893,444.2866
1894,447.0340
1895,449.7744
1896,452.5046
1897,455.2213
1898,457.9214
1899,460.6017
1900,463.2593
1901,465.8909
1902,468.4937
1903,471.0646
1904,473.6007
1905,476.0991
1906,478.5570
1907,480.9715
1908,483.3401
1909,485.6599
1910,487.9284
1911,490.1430
1912,492.3013
1913,494.4007
1914,496.4388
1915,498.4135
1916,500.3224
1917,502.1634
1918,503.9343
1919,505.6331
1920,507.2580
1921,508.8069
1922,510.2780
1923,511.6697
1924,512.9802
1925,514.2081
1926,515.3517
1927,516.4097
1928,517.3807
1929,518.2634
1930,519.0568
1931,519.7596
1932,520.3709
1933,520.8897
1934,521.3153
1935,521.6467
1936,521.8834
1937,522.0248
1938,522.0702
1939,522.0194
1940,521.8720
1941,521.6277
1942,521.2863
1943,520.8478
1944,520.3121
1945,519.6793
1946,518.9496
1947,518.1232
1948,517.2003
1949,516.1815
1950,515.0672
1951,513.8579
1952,512.5543
1953,511.1571
1954,509.6670
1955,508.0850
1956,506.4119
1957,504.6488
1958,502.7967
1959,500.8568
1960,498.8303
1961,496.7185
1962,494.5227
1963,492.2443
1964,489.8848
1965,487.4458
1966,484.9288
1967,482.3355
1968,479.6676
1969,476.9268
1970,474.1150
1971,471.2340
1972,468.2858
1973,465.2723
1974,462.1955
1975,459.0574
1976,455.8602
1977,452.6060
1978,449.2970
1979,445.9352
1980,442.5231
1981,439.0628
1982,435.5567
1983,432.0071
1984,428.4163
1985,424.7866
1986,421.1206
1987,417.4206
1988,413.6890
1989,409.9283
1990,406.1409
1991,402.3293
1992,398.4959
1993,394.6433
1994,390.7740
1995,386.8904
1996,382.9949
1997,379.0902
1998,375.1786
1999,371.2627
2000,367.3449
2001,363.4276
2002,359.5134
2003,355.6046
2004,351.7036
2005,347.8129
2006,343.9348
2007,340.0716
2008,336.2258
2009,332.3995
2010,328.5952
2011,324.8149
2012,321.0610
2013,317.3356
2014,313.6409
2015,309.9789
2016,306.3518
2017,302.7616
2018,299.2103
2019,295.6999
2020,292.2322
2021,288.8092
2022,285.4326
2023,282.1043
2024,278.8259
2025,275.5991
2026,272.4256
2027,269.3070
2028,266.2447
2029,263.2403
2030,260.2952
2031,257.4106
2032,254.5880
2033,251.8285
2034,249.1334
2035,246.5038
2036,243.9408
2037,241.4453
2038,239.0184
2039,236.6609
2040,234.3736
2041,232.1574
2042,230.0129
2043,227.9408
2044,225.9417
2045,224.0161
2046,222.1644
2047,220.3871
2048,218.6845
2049,217.0568
2050,215.5043
2051,214.0272
2052,212.6255
2053,211.2992
2054,210.0484
2055,208.8729
2056,207.7726
2057,206.7472
2058,205.7965
2059,204.9202
2060,204.1179
2061,203.3890
2062,202.7332
2063,202.1499
2064,201.6384
2065,201.1981
2066,200.8282
2067,200.5280
2068,200.2967
2069,200.1334
2070,200.0371
2071,200.0069
2072,200.0417
2073,200.1405
2074,200.3022
2075,200.5257
2076,200.8096
2077,201.1528
2078,201.5540
2079,202.0119
2080,202.5250
2081,203.0921
2082,203.7116
2083,204.3822
2084,205.1023
2085,205.8703
2086,206.6848
2087,207.5442
2088,208.4468
2089,209.3910
2090,210.3751
2091,211.3974
2092,212.4564
2093,213.5501
2094,214.6770
2095,215.8352
2096,217.0230
2097,218.2385
2098,219.4801
2099,220.7459
2100,222.0340
2101,223.3428
2102,224.6703
2103,226.0147
2104,227.3742
2105,228.7470
2106,230.1312
2107,231.5251
2108,232.9268
2109,234.3345
2110,235.7463
2111,237.1606
2112,238.5755
2113,239.9892
2114,241.4000
2115,242.8061
2116,244.2057
2117,245.5973
2118,246.9790
2119,248.3493
2120,249.7063
2121,251.0486
2122,252.3745
2123,253.6824
2124,254.9707
2125,256.2379
2126,257.4826
2127,258.7031
2128,259.8982
2129,261.0663
2130,262.2061
2131,263.3162
2132,264.3954
2133,265.4423
2134,266.4556
2135,267.4343
2136,268.3770
2137,269.2828
2138,270.1504
2139,270.9788
2140,271.7670
2141,272.5141
2142,273.2190
2143,273.8810
2144,274.4991
2145,275.0726
2146,275.6006
2147,276.0826
2148,276.5177
2149,276.9054
2150,277.2451
2151,277.5362
2152,277.7782
2153,277.9707
2154,278.1133
2155,278.2056
2156,278.2473
2157,278.2382
2158,278.1779
2159,278.0664
2160,277.9035
2161,277.6890
2162,277.4230
2163,277.1055
2164,276.7364
2165,276.3159
2166,275.8441
2167,275.3212
2168,274.7473
2169,274.1228
2170,273.4480
2171,272.7232
2172,271.9487
2173,271.1250
2174,270.2525
2175,269.3318
2176,268.3634
2177,267.3479
2178,266.2858
2179,265.1778
2180,264.0247
2181,262.8271
2182,261.5858
2183,260.3015
2184,258.9751
2185,257.6075
2186,256.1994
2187,254.7519
2188,253.2659
2189,251.7423
2190,250.1821
2191,248.5863
2192,246.9560
2193,245.2923
2194,243.5962
2195,241.8688
2196,240.1113
2197,238.3249
2198,236.5106
2199,234.6697
2200,232.8033
2201,230.9128
2202,228.9993
2203,227.0640
2204,225.1083
2205,223.1333
2206,221.1404
2207,219.1308
2208,217.1059
2209,215.0669
2210,213.0152
2211,210.9519
2212,208.8785
2213,206.7963
2214,204.7065
2215,202.6105
2216,200.5096
2217,198.4051
2218,196.2982
2219,194.1904
2220,192.0828
2221,189.9767
2222,187.8735
2223,185.7744
2224,183.6807
2225,181.5935
2226,179.5142
2227,177.4439
2228,175.3839
2229,173.3354
2230,171.2995
2231,169.2774
2232,167.2702
2233,165.2790
2234,163.3051
2235,161.3494
2236,159.4129
2237,157.4969
2238,155.6022
2239,153.7299
2240,151.8810
2241,150.0563
2242,148.2569
2243,146.4836
2244,144.7373
2245,143.0189
2246,141.3291
2247,139.6687
2248,138.0386
2249,136.4395
2250,134.8720
2251,133.3368
2252,131.8347
2253,130.3661
2254,128.9317
2255,127.5321
2256,126.1677
2257,124.8391
2258,123.5467
2259,122.2910
2260,121.0723
2261,119.8910
2262,118.7474
2263,117.6419
2264,116.5747
2265,115.5461
2266,114.5562
2267,113.6052
2268,112.6933
2269,111.8205
2270,110.9870
2271,110.1928
2272,109.4378
2273,108.7222
2274,108.0457
2275,107.4084
2276,106.8101
2277,106.2507
2278,105.7300
2279,105.2478
2280,104.8039
2281,104.3979
2282,104.0297
2283,103.6988
2284,103.4050
2285,103.1478
2286,102.9269
2287,102.7418
2288,102.5921
2289,102.4773
2290,102.3969
2291,102.3503
2292,102.3370
2293,102.3565
2294,102.4081
2295,102.4911
2296,102.6051
2297,102.7492
2298,102.9228
2299,103.1253
2300,103.3558
2301,103.6137
2302,103.8982
2303,104.2086
2304,104.5439
2305,104.9035
2306,105.2866
2307,105.6922
2308,106.1196
2309,106.5679
2310,107.0362
2311,107.5237
2312,108.0294
2313,108.5526
2314,109.0922
2315,109.6474
2316,110.2173
2317,110.8010
2318,111.3975
2319,112.0059
2320,112.6252
2321,113.2547
2322,113.8932
2323,114.5399
2324,115.1939
2325,115.8541
2326,116.5198
2327,117.1899
2328,117.8635
2329,118.5398
2330,119.2178
2331,119.8965
2332,120.5751
2333,121.2528
2334,121.9285
2335,122.6014
2336,123.2707
2337,123.9354
2338,124.5948
2339,125.2480
2340,125.8941
2341,126.5323
2342,127.1619
2343,127.7821
2344,128.3920
2345,128.9909
2346,129.5780
2347,130.1527
2348,130.7142
2349,131.2618
2350,131.7948
2351,132.3126
2352,132.8144
2353,133.2998
2354,133.7680
2355,134.2185
2356,134.6507
2357,135.0640
2358,135.4580
2359,135.8321
2360,136.1858
2361,136.5186
2362,136.8302
2363,137.1200
2364,137.3877
2365,137.6329
2366,137.8552
2367,138.0543
2368,138.2298
2369,138.3815
2370,138.5092
2371,138.6124
2372,138.6911
2373,138.7451
2374,138.7741
2375,138.7779
2376,138.7565
2377,138.7098
2378,138.6376
2379,138.5399
2380,138.4166
2381,138.2677
2382,138.0933
2383,137.8933
2384,137.6678
2385,137.4168
2386,137.1405
2387,136.8389
2388,136.5121
2389,136.1604
2390,135.7839
2391,135.3828
2392,134.9573
2393,134.5077
2394,134.0341
2395,133.5368
2396,133.0162
2397,132.4726
2398,131.9062
2399,131.3174
2400,130.7066
2401,130.0742
2402,129.4205
2403,128.7459
2404,128.0510
2405,127.3360
2406,126.6015
2407,125.8479
2408,125.0758
2409,124.2856
2410,123.4777
2411,122.6528
2412,121.8114
2413,120.9540
2414,120.0811
2415,119.1933
2416,118.2913
2417,117.3755
2418,116.4465
2419,115.5050
2420,114.5515
2421,113.5867
2422,112.6112
2423,111.6256
2424,110.6305
2425,109.6266
2426,108.6144
2427,107.5947
2428,106.5680
2429,105.5350
2430,104.4964
2431,103.4528
2432,102.4049
2433,101.3532
2434,100.2985
2435,99.2413
2436,98.1824
2437,97.1224
2438,96.0618
2439,95.0014
2440,93.9417
2441,92.8835
2442,91.8272
2443,90.7737
2444,89.7233
2445,88.6768
2446,87.6348
2447,86.5978
2448,85.5664
2449,84.5412
2450,83.5229
2451,82.5118
2452,81.5086
2453,80.5139
2454,79.5281
2455,78.5518
2456,77.5855
2457,76.6296
2458,75.6848
2459,74.7513
2460,73.8298
2461,72.9207
2462,72.0243
2463,71.1412
2464,70.2717
2465,69.4163
2466,68.5752
2467,67.7490
2468,66.9379
2469,66.1423
2470,65.3626
2471,64.5989
2472,63.8518
2473,63.1213
2474,62.4078
2475,61.7115
2476,61.0328
2477,60.3717
2478,59.7285
2479,59.1035
2480,58.4967
2481,57.9083
2482,57.3385
2483,56.7874
2484,56.2552
2485,55.7418
2486,55.2475
2487,54.7722
2488,54.3160
2489,53.8789
2490,53.4610
2491,53.0623
2492,52.6828
2493,52.3223
2494,51.9810
2495,51.6587
2496,51.3553
2497,51.0708
2498,50.8050
2499,50.5579
2500,50.3294
